	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
						
high_dummy	-0.443***	-0.412***	-0.362***	-0.437***	-0.408***	-0.354***
	(0.015)	(0.024)	(0.025)	(0.015)	(0.024)	(0.025)
mover				-0.022	-0.022	-0.019
				(0.014)	(0.014)	(0.014)
math_diff				-0.011**	-0.011**	-0.011**
				(0.005)	(0.005)	(0.005)
mathscore_dist_missing				-0.000	0.000	0.014
				(0.000)	(0.000)	(0.011)
height_diff				-0.000	-0.000	0.000
				(0.001)	(0.001)	(0.001)
inclass_n_diff				0.004*	0.004*	0.004
				(0.003)	(0.003)	(0.002)
inclass_pop_diff				-0.001	-0.001	-0.001
				(0.002)	(0.002)	(0.002)
outgoing_diff				-0.002	-0.003	-0.003
				(0.007)	(0.007)	(0.007)
opened_diff				-0.014*	-0.013*	-0.012
				(0.008)	(0.008)	(0.007)
agreeable_diff				0.008	0.007	0.006
				(0.011)	(0.011)	(0.011)
conscientious_diff				0.005	0.004	0.002
				(0.009)	(0.009)	(0.008)
stable_diff				-0.003	-0.003	-0.003
				(0.008)	(0.008)	(0.008)
outgoing_diff_missing				0.000	0.000	-0.050
				(0.000)	(0.000)	(0.033)
o.opened_diff_missing				-	-	-
						
o.agreeable_diff_missing				-	-	-
						
o.conscientious_diff_missing				-	-	-
						
o.stable_diff_missing				-	-	-
						
1.male_i				-0.036	-0.035	-0.021
				(0.032)	(0.033)	(0.031)
1.malepair_co				0.018	0.017	0.018
				(0.016)	(0.016)	(0.016)
2.malepair_co				0.036	0.035	0.034
				(0.032)	(0.033)	(0.032)
2.class				-0.000	-0.000	-0.004**
				(0.000)	(0.000)	(0.002)
3.class				-0.000	-0.000	-0.005***
				(0.000)	(0.000)	(0.002)
4.class				-0.000	-0.000	0.015**
				(0.000)	(0.000)	(0.006)
5.class				-0.000	-0.000	0.023***
				(0.000)	(0.000)	(0.002)
6.class				-0.000	-0.000	0.031***
				(0.000)	(0.000)	(0.003)
7.class				-0.000	-0.000	-0.011***
				(0.000)	(0.000)	(0.002)
8.class				-0.000	-0.000	0.023***
				(0.000)	(0.000)	(0.002)
9.class				-0.000	-0.000	-0.003
				(0.000)	(0.000)	(0.004)
10.class				-0.000	-0.000	0.019***
				(0.000)	(0.000)	(0.004)
11.class				-0.000	-0.000	-0.040***
				(0.000)	(0.000)	(0.006)
12.class				-0.000	-0.000	-0.008**
				(0.000)	(0.000)	(0.004)
13.class				-0.000	-0.000	0.054***
