	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
						
f_high	-0.544***	-0.577***	-0.498***	-0.537***	-0.568***	-0.483***
	(0.015)	(0.019)	(0.019)	(0.016)	(0.019)	(0.019)
mover				0.004	0.003	0.005
				(0.017)	(0.017)	(0.016)
math_diff				-0.005	-0.005	-0.005
				(0.005)	(0.005)	(0.005)
mathscore_dist_missing				-0.000*	-0.000	0.009
				(0.000)	(0.000)	(0.006)
height_diff				-0.001	-0.001	-0.001
				(0.001)	(0.001)	(0.001)
inclass_n_diff				0.001	0.001	0.001
				(0.003)	(0.003)	(0.002)
inclass_pop_diff				-0.000	-0.000	-0.001
				(0.002)	(0.002)	(0.002)
outgoing_diff				-0.000	-0.000	-0.001
				(0.006)	(0.006)	(0.006)
opened_diff				-0.010	-0.010	-0.010
				(0.008)	(0.008)	(0.008)
agreeable_diff				0.012	0.012	0.012
				(0.010)	(0.010)	(0.010)
conscientious_diff				-0.001	-0.001	-0.002
				(0.007)	(0.007)	(0.007)
stable_diff				0.007	0.007	0.007
				(0.008)	(0.008)	(0.008)
outgoing_diff_missing				0.000	0.000	-0.032
				(0.000)	(0.000)	(0.026)
o.opened_diff_missing				-	-	-
						
o.agreeable_diff_missing				-	-	-
						
o.conscientious_diff_missing				-	-	-
						
o.stable_diff_missing				-	-	-
						
1.male_i				-0.029	-0.030	-0.031
				(0.037)	(0.036)	(0.035)
1.malepair_co				0.014	0.015	0.019
				(0.018)	(0.018)	(0.018)
2.malepair_co				0.029	0.030	0.030
				(0.037)	(0.036)	(0.036)
2.class				0.000***	0.000***	0.022***
				(0.000)	(0.000)	(0.002)
3.class				0.000***	0.000***	0.008***
				(0.000)	(0.000)	(0.002)
4.class				0.000***	0.000***	0.029***
				(0.000)	(0.000)	(0.004)
5.class				0.000***	0.000***	0.042***
				(0.000)	(0.000)	(0.003)
6.class				0.000***	0.000***	0.031***
				(0.000)	(0.000)	(0.002)
7.class				0.000***	0.000***	0.008***
				(0.000)	(0.000)	(0.002)
8.class				0.000***	0.000***	0.011***
				(0.000)	(0.000)	(0.002)
9.class				-0.000	-0.000	0.014**
				(0.000)	(0.000)	(0.006)
10.class				0.000***	0.000***	0.038***
				(0.000)	(0.000)	(0.006)
11.class				0.000***	0.000***	-0.006
				(0.000)	(0.000)	(0.006)
12.class				0.000***	0.000***	0.003
				(0.000)	(0.000)	(0.005)
13.class				0.000	0.000	0.070***
				(0.000)	(0.000)	(0.008)
14.class				-0.000	-0.000	0.033***
				(0.000)	(0.000)	(0.005)
15.class				0.000***	0.000***	0.020***
				(0.000)	(0.000)	(0.006)
16.class				-0.000***	-0.000***	0.038***
				(0.000)	(0.000)	(0.006)
17.class				-0.000*	-0.000*	0.051***
				(0.000)	(0.000)	(0.006)
18.class				-0.000***	-0.000***	0.021***
				(0.000)	(0.000)	(0.007)
19.class				0.000***	0.000***	0.001
				(0.000)	(0.000)	(0.006)
20.class				0.000*	0.000*	-0.006
				(0.000)	(0.000)	(0.005)
21.class				0.000***	0.000***	0.027***
				(0.000)	(0.000)	(0.006)
22.class				0.000***	0.000***	0.026***
				(0.000)	(0.000)	(0.002)
23.class				-0.000	-0.000	0.050*
				(0.000)	(0.000)	(0.026)
24.class				-0.000***	-0.000***	0.033***
				(0.000)	(0.000)	(0.006)
25.class				-0.000***	-0.000***	0.009*
				(0.000)	(0.000)	(0.005)
26.class				-0.000***	-0.000***	0.035***
				(0.000)	(0.000)	(0.007)
27.class				0.000	0.000	0.014***
				(0.000)	(0.000)	(0.005)
28.class				0.000***	0.000***	0.017***
				(0.000)	(0.000)	(0.005)
29.class				0.000***	0.000***	0.028***
