	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
						
max_mpi_high	-0.472***	-0.436***	-0.389***	-0.464***	-0.432***	-0.382***
	(0.014)	(0.023)	(0.024)	(0.014)	(0.023)	(0.023)
mover				-0.023*	-0.022*	-0.019
				(0.013)	(0.013)	(0.012)
math_diff				-0.005	-0.005	-0.005
				(0.004)	(0.004)	(0.004)
mathscore_dist_missing				-0.000	-0.000	0.012
				(0.000)	(0.000)	(0.007)
height_diff				-0.001	-0.001	-0.001
				(0.001)	(0.001)	(0.001)
inclass_n_diff				0.003	0.003	0.003
				(0.003)	(0.003)	(0.002)
inclass_pop_diff				-0.001	-0.001	-0.001
				(0.002)	(0.002)	(0.002)
outgoing_diff				-0.002	-0.002	-0.002
				(0.006)	(0.006)	(0.006)
opened_diff				-0.015**	-0.015**	-0.012*
				(0.007)	(0.007)	(0.007)
agreeable_diff				0.006	0.005	0.004
				(0.009)	(0.009)	(0.008)
conscientious_diff				0.005	0.004	0.001
				(0.008)	(0.008)	(0.007)
stable_diff				0.007	0.007	0.007
				(0.008)	(0.008)	(0.008)
outgoing_diff_missing				-0.000	-0.000	-0.039
				(0.000)	(0.000)	(0.028)
o.opened_diff_missing				-	-	-
						
o.agreeable_diff_missing				-	-	-
						
o.conscientious_diff_missing				-	-	-
						
o.stable_diff_missing				-	-	-
						
1.male_i				-0.048	-0.048	-0.031
				(0.035)	(0.035)	(0.037)
1.malepair_co				0.024	0.024	0.026
				(0.018)	(0.018)	(0.019)
2.malepair_co				0.048	0.048	0.047
				(0.035)	(0.035)	(0.036)
2.class				0.000***	0.000***	-0.002
				(0.000)	(0.000)	(0.002)
3.class				0.000***	0.000***	-0.006***
				(0.000)	(0.000)	(0.001)
4.class				0.000	0.000	0.017***
				(0.000)	(0.000)	(0.004)
5.class				0.000***	0.000***	0.022***
				(0.000)	(0.000)	(0.002)
6.class				0.000***	0.000***	0.027***
				(0.000)	(0.000)	(0.002)
7.class				0.000***	0.000***	-0.011***
				(0.000)	(0.000)	(0.002)
8.class				-0.000***	-0.000***	0.018***
				(0.000)	(0.000)	(0.001)
9.class				0.000***	0.000***	-0.018***
				(0.000)	(0.000)	(0.005)
10.class				0.000***	0.000***	0.019***
				(0.000)	(0.000)	(0.004)
11.class				0.000***	0.000***	-0.037***
				(0.000)	(0.000)	(0.005)
12.class				0.000*	0.000*	-0.011***
				(0.000)	(0.000)	(0.004)
13.class				-0.000	-0.000	0.055***
				(0.000)	(0.000)	(0.006)
14.class				0.000***	0.000***	0.019***
				(0.000)	(0.000)	(0.004)
15.class				0.000***	0.000***	0.030***
				(0.000)	(0.000)	(0.004)
16.class				0.000***	0.000***	0.003
				(0.000)	(0.000)	(0.004)
17.class				0.000***	0.000***	0.019***
				(0.000)	(0.000)	(0.004)
18.class				0.000***	0.000***	-0.007
				(0.000)	(0.000)	(0.005)
19.class				-0.000	-0.000	-0.019***
				(0.000)	(0.000)	(0.005)
20.class				0.000***	0.000***	-0.017***
				(0.000)	(0.000)	(0.004)
21.class				0.000***	0.000***	-0.005
				(0.000)	(0.000)	(0.006)
22.class				0.000***	0.000***	0.008***
				(0.000)	(0.000)	(0.001)
23.class				0.000	0.000	0.019
				(0.000)	(0.000)	(0.027)
24.class				-0.000***	-0.000***	-0.007
				(0.000)	(0.000)	(0.004)
25.class				0.000***	0.000***	-0.008**
				(0.000)	(0.000)	(0.004)
26.class				0.000***	0.000***	-0.003
				(0.000)	(0.000)	(0.005)
27.class				0.000*	0.000*	0.001
				(0.000)	(0.000)	(0.004)
28.class				0.000**	0.000**	-0.006*
				(0.000)	(0.000)	(0.004)
29.class				0.000***	0.000***	0.012***
