	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
												
ccei_max	0.403***	0.385***	0.309***	0.305***								
	(0.081)	(0.095)	(0.076)	(0.089)								
ccei_dist	-0.258***	-0.281***	-0.206***	-0.241***								
	(0.050)	(0.060)	(0.041)	(0.055)								
RA_max			-0.178***	-0.176***			-0.264***	-0.262***			-0.224***	-0.220***
			(0.049)	(0.049)			(0.064)	(0.064)			(0.055)	(0.055)
RA_dist			0.092**	0.087**			0.199***	0.193***			0.096**	0.092**
			(0.037)	(0.036)			(0.057)	(0.057)			(0.043)	(0.043)
2.class			-0.014**	-0.014**			0.001	0.000			-0.017**	-0.020***
			(0.006)	(0.006)			(0.009)	(0.009)			(0.007)	(0.007)
3.class			0.068***	0.071***			0.099***	0.099***			0.078***	0.080***
			(0.005)	(0.006)			(0.007)	(0.008)			(0.006)	(0.007)
4.class			0.080***	0.084***			0.177***	0.182***			0.100***	0.103***
			(0.007)	(0.008)			(0.011)	(0.012)			(0.008)	(0.009)
5.class			0.059***	0.061***			0.120***	0.120***			0.074***	0.074***
			(0.010)	(0.010)			(0.014)	(0.015)			(0.012)	(0.011)
6.class			0.059***	0.062***			0.079***	0.079***			0.077***	0.077***
			(0.009)	(0.009)			(0.011)	(0.011)			(0.010)	(0.009)
7.class			0.025***	0.026***			0.082***	0.081***			0.037***	0.035***
			(0.009)	(0.009)			(0.013)	(0.013)			(0.010)	(0.011)
8.class			0.038***	0.041***			0.038***	0.038***			0.052***	0.052***
			(0.008)	(0.008)			(0.012)	(0.012)			(0.009)	(0.008)
9.class			-0.057***	-0.056***			-0.090***	-0.090***			-0.105***	-0.106***
			(0.009)	(0.009)			(0.016)	(0.016)			(0.010)	(0.010)
10.class			0.018	0.020			0.067***	0.067***			0.032**	0.032**
			(0.014)	(0.014)			(0.019)	(0.019)			(0.015)	(0.015)
11.class			-0.003	-0.002			0.081***	0.081***			0.004	0.005
			(0.011)	(0.012)			(0.018)	(0.019)			(0.014)	(0.013)
12.class			0.022**	0.023**			0.021	0.020			0.042***	0.038***
			(0.009)	(0.010)			(0.016)	(0.016)			(0.011)	(0.011)
13.class			0.018	0.021			0.032	0.033			0.029	0.028
			(0.016)	(0.017)			(0.023)	(0.023)			(0.018)	(0.018)
14.class			0.001	0.004			0.026	0.027			0.027**	0.026**
			(0.011)	(0.012)			(0.018)	(0.018)			(0.013)	(0.013)
15.class			0.014	0.016			0.024	0.024			0.019	0.018
			(0.011)	(0.011)			(0.017)	(0.017)			(0.012)	(0.012)
16.class			-0.034***	-0.033***			0.045**	0.045**			-0.010	-0.014
			(0.011)	(0.012)			(0.020)	(0.020)			(0.013)	(0.013)
17.class			0.036***	0.037***			0.016	0.017			0.035**	0.035**
			(0.013)	(0.013)			(0.021)	(0.021)			(0.016)	(0.016)
18.class			0.011	0.011			-0.035*	-0.035*			-0.002	-0.003
			(0.012)	(0.012)			(0.019)	(0.019)			(0.014)	(0.014)
19.class			0.044***	0.048***			0.065***	0.065***			0.049***	0.049***
			(0.010)	(0.011)			(0.015)	(0.016)			(0.010)	(0.011)
20.class			-0.003	-0.000			0.044**	0.044**			0.007	0.006
			(0.011)	(0.011)			(0.018)	(0.018)			(0.012)	(0.013)
21.class			0.077***	0.076***			0.102***	0.098***			0.100***	0.097***
			(0.009)	(0.009)			(0.013)	(0.013)			(0.010)	(0.010)
22.class			0.059***	0.058***			0.116***	0.115***			0.065***	0.062***
			(0.006)	(0.007)			(0.009)	(0.009)			(0.008)	(0.008)
24.class			0.039***	0.043***			-0.020**	-0.020**			0.058***	0.058***
			(0.007)	(0.008)			(0.009)	(0.009)			(0.008)	(0.008)
25.class			-0.031***	-0.030**			-0.030	-0.030			-0.049***	-0.050***
			(0.011)	(0.012)			(0.019)	(0.019)			(0.015)	(0.015)
26.class			0.044***	0.045***			0.072***	0.072***			0.061***	0.060***
			(0.013)	(0.013)			(0.021)	(0.022)			(0.015)	(0.015)
27.class			-0.012	-0.008			-0.005	-0.004			-0.026**	-0.026*
			(0.011)	(0.012)			(0.019)	(0.020)			(0.013)	(0.014)
28.class			-0.000	0.002			0.007	0.008			-0.036**	-0.035**
			(0.012)	(0.013)			(0.020)	(0.020)			(0.014)	(0.014)
29.class			0.041***	0.042***			0.110***	0.110***			0.064***	0.063***
			(0.005)	(0.005)			(0.008)	(0.008)			(0.006)	(0.006)
30.class			0.031***	0.032***			0.071***	0.070***			0.037***	0.035***
			(0.008)	(0.008)			(0.011)	(0.011)			(0.009)	(0.009)
31.class			-0.010	-0.009			-0.004	-0.005			-0.017	-0.019
			(0.010)	(0.010)			(0.014)	(0.014)			(0.012)	(0.012)
32.class			0.032***	0.034***			0.074***	0.073***			0.041***	0.038***
			(0.007)	(0.008)			(0.011)	(0.012)			(0.009)	(0.009)
33.class			0.046***	0.047***			0.115***	0.115***			0.061***	0.061***
			(0.007)	(0.007)			(0.011)	(0.011)			(0.008)	(0.008)
34.class			-0.010	-0.009			0.016	0.015			-0.006	-0.007
			(0.009)	(0.009)			(0.011)	(0.011)			(0.010)	(0.010)
35.class			0.042***	0.043***			0.067***	0.067***			0.045***	0.048***
			(0.006)	(0.007)			(0.008)	(0.009)			(0.007)	(0.007)
36.class			-0.099***	-0.099***			-0.039***	-0.040***			-0.100***	-0.099***
			(0.009)	(0.009)			(0.010)	(0.010)			(0.008)	(0.008)
37.class			0.062***	0.065***			0.120***	0.120***			0.063***	0.064***
			(0.012)	(0.012)			(0.017)	(0.017)			(0.014)	(0.014)
38.class			0.001	0.003			0.020	0.021			-0.002	-0.002
			(0.009)	(0.009)			(0.014)	(0.014)			(0.011)	(0.010)
39.class			-0.060***	-0.057***			-0.065***	-0.065***			-0.057***	-0.058***
			(0.007)	(0.007)			(0.009)	(0.009)			(0.008)	(0.008)
40.class			-0.042***	-0.042***			-0.140***	-0.139***			-0.040***	-0.037***
			(0.009)	(0.009)			(0.013)	(0.014)			(0.010)	(0.010)
41.class			0.014	0.015			0.030*	0.030*			0.019	0.019
			(0.011)	(0.011)			(0.016)	(0.016)			(0.012)	(0.012)
42.class			-0.011	-0.009			0.008	0.007			-0.015	-0.019
			(0.012)	(0.012)			(0.018)	(0.018)			(0.013)	(0.013)
43.class			-0.019*	-0.014			-0.008	-0.008			-0.016	-0.015
			(0.010)	(0.011)			(0.015)	(0.016)			(0.011)	(0.013)
44.class			0.031**	0.034***			0.084***	0.084***			0.034**	0.035**
			(0.012)	(0.013)			(0.019)	(0.019)			(0.013)	(0.014)
45.class			0.052***	0.055***			0.083***	0.083***			0.056***	0.056***
			(0.010)	(0.011)			(0.018)	(0.018)			(0.012)	(0.012)
46.class			0.065***	0.065***			0.154***	0.154***			0.094***	0.092***
			(0.013)	(0.012)			(0.020)	(0.020)			(0.015)	(0.014)
47.class			0.011	0.012			0.097***	0.097***			0.001	0.001
			(0.011)	(0.011)			(0.016)	(0.016)			(0.012)	(0.012)
48.class			0.040***	0.042***			0.139***	0.138***			0.056***	0.057***
			(0.013)	(0.014)			(0.020)	(0.020)			(0.016)	(0.016)
49.class			0.022*	0.023*			0.052**	0.052**			0.006	0.006
			(0.013)	(0.013)			(0.020)	(0.020)			(0.016)	(0.016)
50.class			0.039***	0.041***			0.058***	0.058***			0.052***	0.053***
			(0.013)	(0.013)			(0.021)	(0.020)			(0.016)	(0.016)
