	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	dt_share	dt_share	dt_share	dt_share	dt_share	dt_share	dt_share
							
txtreatment	-0.046	0.079***	0.093***	0.094***	0.060**	0.103*	0.042
	(0.042)	(0.029)	(0.025)	(0.023)	(0.028)	(0.053)	(0.055)
t	0.045	-0.012	-0.026	-0.041**	-0.011	-0.008	-0.052
	(0.031)	(0.021)	(0.019)	(0.019)	(0.019)	(0.031)	(0.040)
female	-0.030	0.021	-0.008	-0.002	0.033*	-0.006	-0.027
	(0.028)	(0.020)	(0.018)	(0.015)	(0.019)	(0.040)	(0.027)
height	-0.003	-0.001	0.001	-0.001	-0.000	0.006*	0.005*
	(0.002)	(0.002)	(0.002)	(0.001)	(0.002)	(0.003)	(0.003)
weight	-0.003**	-0.001	-0.001	-0.000	0.000	-0.003	-0.003**
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)
motherage	0.007	-0.002	0.001	0.001	0.003	-0.007	-0.001
	(0.004)	(0.002)	(0.002)	(0.003)	(0.003)	(0.006)	(0.004)
fatherage	-0.004	0.000	-0.002	-0.000	-0.001	0.012*	-0.001
	(0.005)	(0.003)	(0.003)	(0.003)	(0.003)	(0.007)	(0.004)
motheredu	0.022	-0.013	0.018	0.003	0.050*	0.046	-0.053*
	(0.034)	(0.023)	(0.021)	(0.018)	(0.026)	(0.050)	(0.030)
fatheredu	-0.046	0.006	-0.016	-0.010	-0.064**	-0.091*	0.038
	(0.034)	(0.024)	(0.022)	(0.018)	(0.029)	(0.052)	(0.029)
firstborn	0.062**	0.040*	0.003	0.014	0.002	0.031	0.027
	(0.030)	(0.021)	(0.019)	(0.017)	(0.020)	(0.031)	(0.029)
mathscore	0.009	-0.002	0.001	0.003	-0.004	0.005	-0.003
	(0.009)	(0.006)	(0.006)	(0.005)	(0.006)	(0.012)	(0.009)
selfesteem	-0.013	0.002	-0.014	-0.005	-0.033	-0.130***	0.014
	(0.031)	(0.022)	(0.022)	(0.019)	(0.024)	(0.038)	(0.033)
outgoing	-0.002	0.001	-0.006	-0.005	0.001	0.004	-0.009
	(0.017)	(0.013)	(0.010)	(0.009)	(0.012)	(0.023)	(0.016)
agreeable	0.023	0.001	-0.005	-0.006	-0.014	-0.015	0.023
	(0.021)	(0.013)	(0.012)	(0.010)	(0.013)	(0.021)	(0.022)
conscientious	-0.014	0.006	0.006	0.005	0.017	-0.006	0.009
	(0.016)	(0.012)	(0.011)	(0.010)	(0.012)	(0.019)	(0.018)
stable	-0.007	-0.013	-0.004	-0.006	-0.001	0.076***	-0.020
	(0.016)	(0.012)	(0.011)	(0.009)	(0.012)	(0.019)	(0.017)
opened	-0.013	-0.013	-0.015	-0.014	-0.031***	0.026	-0.035*
	(0.016)	(0.011)	(0.011)	(0.009)	(0.011)	(0.018)	(0.021)
same_height	-0.036**	0.001	-0.007	-0.004	0.032**	0.028	-0.015
	(0.018)	(0.013)	(0.012)	(0.010)	(0.015)	(0.028)	(0.031)
same_weight	0.070***	0.009	0.032***	0.044***	0.023	0.081***	0.065**
	(0.021)	(0.014)	(0.012)	(0.010)	(0.015)	(0.028)	(0.029)
same_classroom	-0.013	0.037**	0.036***	0.015	0.021	0.037	0.017
	(0.037)	(0.016)	(0.012)	(0.010)	(0.013)	(0.028)	(0.026)
same_sex	-0.078*	0.025	0.024*	0.011	0.030	0.038	-0.022
	(0.044)	(0.019)	(0.014)	(0.012)	(0.021)	(0.036)	(0.025)
14.school	0.018	-0.015	0.048*	-0.007	0.005	0.057	0.025
	(0.037)	(0.031)	(0.029)	(0.023)	(0.032)	(0.059)	(0.046)
16.school	-0.005	0.020	0.129***	0.091***	0.103***	0.148**	-0.049
	(0.043)	(0.032)	(0.027)	(0.024)	(0.036)	(0.069)	(0.051)
21.school	-0.105**	-0.066**	0.009	-0.016	-0.044	0.136	0.012
	(0.044)	(0.032)	(0.029)	(0.026)	(0.043)	(0.109)	(0.050)
