	(1)	(2)	(3)	(4)	(5)
VARIABLES	dt_share	dt_share	dt_share	dt_share	dt_share
					
txtreatment	0.067***	0.067***	0.067***	0.067***	0.069***
	(0.020)	(0.020)	(0.020)	(0.020)	(0.020)
t	-0.015	-0.015	-0.015	-0.015	-0.015
	(0.015)	(0.015)	(0.016)	(0.016)	(0.016)
female		0.004	-0.001	-0.002	0.002
		(0.014)	(0.014)	(0.014)	(0.014)
height		-0.000	0.000	-0.000	-0.000
		(0.001)	(0.001)	(0.001)	(0.001)
weight		-0.001	-0.001	-0.001	-0.001
		(0.001)	(0.001)	(0.001)	(0.001)
motherage		0.000	0.000	0.000	0.000
		(0.002)	(0.002)	(0.002)	(0.002)
fatherage		-0.001	-0.001	-0.001	-0.001
		(0.002)	(0.002)	(0.002)	(0.002)
motheredu		0.013	0.014	0.014	0.015
		(0.017)	(0.016)	(0.016)	(0.017)
fatheredu		-0.023	-0.021	-0.021	-0.021
		(0.017)	(0.017)	(0.017)	(0.017)
firstborn		0.017	0.017	0.016	0.018
		(0.015)	(0.015)	(0.015)	(0.015)
mathscore			0.001	0.001	0.001
			(0.004)	(0.004)	(0.004)
selfesteem			-0.009	-0.008	-0.010
			(0.016)	(0.016)	(0.016)
outgoing			-0.004	-0.004	-0.004
			(0.008)	(0.008)	(0.008)
agreeable			-0.003	-0.003	-0.003
			(0.009)	(0.009)	(0.009)
conscientious			0.002	0.002	0.001
			(0.009)	(0.009)	(0.009)
stable			-0.005	-0.006	-0.004
			(0.009)	(0.009)	(0.009)
opened			-0.015*	-0.015*	-0.015*
			(0.008)	(0.008)	(0.008)
same_height				-0.002	-0.001
				(0.006)	(0.006)
same_weight				0.039***	0.036***
				(0.006)	(0.006)
same_classroom				0.054***	0.046***
				(0.005)	(0.005)
same_sex				0.077***	0.049***
				(0.006)	(0.006)
distance_t					-0.020***
					(0.002)
14.school	0.011	0.005	-0.001	0.002	0.008
	(0.019)	(0.019)	(0.020)	(0.020)	(0.020)
16.school	0.069***	0.063***	0.063***	0.066***	0.074***
	(0.021)	(0.021)	(0.021)	(0.021)	(0.021)
21.school	-0.016	-0.017	-0.017	-0.016	-0.021
	(0.023)	(0.024)	(0.024)	(0.023)	(0.024)
24.school	0.034	0.035	0.036	0.036	0.045*
	(0.026)	(0.026)	(0.026)	(0.026)	(0.026)
26.school	0.028	0.026	0.029	0.032	0.045*
	(0.026)	(0.027)	(0.027)	(0.027)	(0.027)
Constant	0.212***	0.306	0.395*	0.339	0.399*
	(0.015)	(0.224)	(0.227)	(0.228)	(0.228)
					
Observations	10,065	10,065	10,065	10,065	10,065
R-squared	0.025	0.029	0.033	0.071	0.089
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
