	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	female	height	weight	motherage	fatherage	motheredu	fatheredu	birthorder	firstborn	mathscore	selfesteem	outgoing	agreeable	conscientious	stable	opened	distance_1	distance_2	distance_3	distance_4	distance_5	distance_6to11	distance_12	dt_share
																								
treatment	0.020	0.614	0.909	0.164	0.194	0.092	0.052	-0.081	0.088	-0.061	-0.035	-0.057	0.058	0.002	-0.053	0.013	-0.003	0.020	0.023	0.020	-0.050	-0.024	0.015	-0.014
	(0.120)	(0.980)	(1.316)	(0.392)	(0.398)	(0.067)	(0.076)	(0.059)	(0.050)	(0.284)	(0.026)	(0.040)	(0.048)	(0.057)	(0.066)	(0.079)	(0.018)	(0.041)	(0.052)	(0.035)	(0.043)	(0.031)	(0.008)	(0.024)
Constant	0.422***	162.064***	52.520***	43.772***	46.290***	0.566***	0.615***	1.634***	0.456***	2.721***	3.164***	3.598***	3.322***	3.408***	3.016***	3.544***	0.099***	0.185***	0.269***	0.221***	0.150***	0.075**	0.002	0.242***
	(0.089)	(0.774)	(0.692)	(0.298)	(0.259)	(0.056)	(0.058)	(0.028)	(0.027)	(0.234)	(0.022)	(0.027)	(0.036)	(0.051)	(0.036)	(0.039)	(0.014)	(0.030)	(0.039)	(0.018)	(0.036)	(0.026)	(0.002)	(0.019)
																								
Observations	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130	1,130
R-squared	0.000	0.002	0.002	0.000	0.001	0.009	0.003	0.004	0.008	0.000	0.001	0.001	0.002	0.000	0.001	0.000	0.000	0.001	0.001	0.001	0.006	0.003	0.006	0.001
Robust standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
