	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	psc	p00	p10	psc	pnomination	psc	pnomination	pss
								
txtreatment	-0.011	-0.007*	0.018	-0.011	0.011	0.010***	0.075***	0.007*
	(0.018)	(0.003)	(0.020)	(0.018)	(0.013)	(0.000)	(0.000)	(0.003)
t	0.070**	0.004	-0.074**	0.070**	0.021	0.030***	-0.025***	-0.004
	(0.014)	(0.003)	(0.017)	(0.014)	(0.010)	(0.000)	(0.000)	(0.003)
female	-0.000	0.002	-0.002	-0.000	-0.062**			-0.002
	(0.026)	(0.002)	(0.025)	(0.026)	(0.015)			(0.002)
height	-0.003	0.001*	0.002	-0.003	0.003*	-0.005	0.003**	-0.001*
	(0.002)	(0.000)	(0.002)	(0.002)	(0.001)	(0.002)	(0.000)	(0.000)
weight	-0.001	0.000	0.001	-0.001	-0.001	0.003**	-0.001	-0.000
	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.000)
15.school	0.063***	0.015***	-0.077***	0.063***	-0.015***			-0.015***
	(0.003)	(0.000)	(0.003)	(0.003)	(0.001)			(0.000)
23.school	-0.002	0.005**	-0.003	-0.002	0.002			-0.005**
	(0.009)	(0.002)	(0.010)	(0.009)	(0.006)			(0.002)
25.school	0.021*	0.008**	-0.029**	0.021*	0.002			-0.008**
	(0.007)	(0.002)	(0.009)	(0.007)	(0.006)			(0.002)
22.school						0.064**	0.055**	
						(0.001)	(0.003)	
Constant	1.115**	-0.099**	-0.016	1.115**	0.489*	1.286	0.377	1.099***
	(0.279)	(0.031)	(0.266)	(0.279)	(0.173)	(0.341)	(0.075)	(0.031)
								
Observations	2,350	2,350	2,350	2,350	2,350	656	656	2,350
R-squared	0.032	0.010	0.035	0.032	0.049	0.026	0.026	0.010
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
