	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	dt_share	dt_share	dt_share	dt_share	dt_share	dt_share	dt_share
							
txtreatment	-0.007	0.064***	0.078***	0.072***	0.053***	0.060**	0.036
	(0.025)	(0.020)	(0.018)	(0.018)	(0.019)	(0.026)	(0.040)
t	0.029	-0.027*	-0.035**	-0.037**	-0.015	-0.007	-0.033
	(0.018)	(0.015)	(0.014)	(0.015)	(0.013)	(0.019)	(0.033)
female	-0.080***	-0.048***	-0.049***	-0.029**	-0.002	-0.041*	-0.053**
	(0.020)	(0.016)	(0.013)	(0.012)	(0.015)	(0.025)	(0.023)
height	-0.000	0.001	0.001	-0.000	0.002	0.001	-0.001
	(0.002)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)
weight	-0.001	-0.001	-0.001	0.000	-0.000	0.001	0.000
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
motherage	0.004	-0.004**	0.000	0.001	0.004	0.007	-0.002
	(0.003)	(0.002)	(0.002)	(0.002)	(0.003)	(0.004)	(0.003)
fatherage	-0.002	0.001	-0.001	-0.001	-0.001	-0.007	-0.001
	(0.003)	(0.003)	(0.003)	(0.002)	(0.003)	(0.005)	(0.003)
motheredu	0.003	-0.003	0.003	0.001	0.037*	-0.003	-0.010
	(0.022)	(0.018)	(0.017)	(0.013)	(0.019)	(0.030)	(0.024)
fatheredu	-0.005	-0.002	0.006	0.007	-0.041**	-0.016	0.054**
	(0.023)	(0.019)	(0.017)	(0.014)	(0.020)	(0.029)	(0.024)
firstborn	0.018	0.008	0.014	0.002	-0.003	-0.008	-0.009
	(0.019)	(0.015)	(0.013)	(0.012)	(0.015)	(0.022)	(0.023)
mathscore	-0.002	0.004	-0.000	-0.002	-0.003	-0.010	-0.001
	(0.006)	(0.005)	(0.004)	(0.004)	(0.005)	(0.007)	(0.007)
selfesteem	-0.023	-0.024	-0.037**	-0.013	-0.020	-0.030	0.014
	(0.021)	(0.017)	(0.015)	(0.013)	(0.018)	(0.021)	(0.026)
outgoing	-0.007	0.004	-0.004	-0.008	-0.004	-0.011	-0.015
	(0.010)	(0.008)	(0.007)	(0.006)	(0.009)	(0.012)	(0.013)
agreeable	0.000	0.003	-0.001	-0.003	-0.006	-0.011	-0.007
	(0.013)	(0.010)	(0.008)	(0.008)	(0.011)	(0.016)	(0.015)
conscientious	0.010	0.006	0.017**	0.009	0.014	0.014	0.006
	(0.011)	(0.009)	(0.008)	(0.007)	(0.009)	(0.015)	(0.014)
stable	-0.001	-0.018*	-0.012	-0.012*	-0.006	-0.013	-0.008
	(0.011)	(0.010)	(0.008)	(0.007)	(0.009)	(0.016)	(0.014)
opened	-0.017	-0.005	-0.010	-0.012*	-0.019**	0.006	-0.028*
	(0.011)	(0.008)	(0.008)	(0.007)	(0.008)	(0.013)	(0.015)
same_height	-0.003	-0.004	-0.009	-0.003	0.025**	0.008	-0.008
	(0.013)	(0.009)	(0.008)	(0.008)	(0.010)	(0.017)	(0.018)
same_weight	0.052***	0.029***	0.026***	0.045***	0.029***	0.023	0.003
	(0.013)	(0.009)	(0.008)	(0.008)	(0.011)	(0.017)	(0.020)
same_classroom	-0.023	0.052***	0.056***	0.024***	0.025**	-0.007	0.023
	(0.029)	(0.011)	(0.008)	(0.008)	(0.012)	(0.022)	(0.020)
same_sex	-0.076*	0.030*	0.022*	0.015	0.034**	0.015	-0.015
	(0.042)	(0.018)	(0.012)	(0.009)	(0.014)	(0.022)	(0.022)
12.school	-0.043	-0.046	-0.012	-0.018	-0.048	0.045	-0.139***
	(0.041)	(0.028)	(0.028)	(0.031)	(0.050)	(0.099)	(0.049)
13.school	0.002	-0.010	0.015	0.012	0.024	0.040	-0.043
	(0.037)	(0.029)	(0.022)	(0.023)	(0.033)	(0.048)	(0.037)
14.school	0.039	-0.013	0.041	-0.005	0.017	0.069	0.053
	(0.039)	(0.031)	(0.027)	(0.023)	(0.029)	(0.054)	(0.043)
