	(1)	(2)	(3)	(4)	(5)
VARIABLES	dt_share	dt_share	dt_share	dt_share	dt_share
					
txtreatment	0.058***	0.058***	0.058***	0.058***	0.061***
	(0.014)	(0.014)	(0.014)	(0.014)	(0.014)
t	-0.022**	-0.022**	-0.022**	-0.022**	-0.021*
	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)
female		-0.045***	-0.050***	-0.051***	-0.044***
		(0.011)	(0.011)	(0.011)	(0.011)
height		0.000	0.001	0.000	0.001
		(0.001)	(0.001)	(0.001)	(0.001)
weight		-0.001	-0.001	-0.001	-0.001
		(0.001)	(0.001)	(0.001)	(0.001)
motherage		-0.000	-0.000	-0.000	0.000
		(0.002)	(0.002)	(0.002)	(0.002)
fatherage		-0.000	-0.000	-0.000	-0.000
		(0.002)	(0.002)	(0.002)	(0.002)
motheredu		0.007	0.009	0.009	0.009
		(0.013)	(0.012)	(0.012)	(0.013)
fatheredu		-0.006	-0.004	-0.004	-0.004
		(0.013)	(0.013)	(0.013)	(0.013)
firstborn		0.004	0.006	0.005	0.006
		(0.010)	(0.011)	(0.011)	(0.011)
mathscore			0.001	0.000	0.000
			(0.003)	(0.003)	(0.003)
selfesteem			-0.021*	-0.021*	-0.022*
			(0.012)	(0.012)	(0.012)
outgoing			-0.004	-0.004	-0.004
			(0.006)	(0.006)	(0.006)
agreeable			-0.001	-0.001	-0.001
			(0.007)	(0.007)	(0.007)
conscientious			0.009	0.009	0.010
			(0.006)	(0.006)	(0.006)
stable			-0.012*	-0.012*	-0.011*
			(0.007)	(0.007)	(0.007)
opened			-0.010*	-0.011*	-0.010*
			(0.006)	(0.006)	(0.006)
same_height				-0.000	-0.001
				(0.004)	(0.004)
same_weight				0.037***	0.035***
				(0.004)	(0.004)
same_classroom				0.066***	0.054***
				(0.004)	(0.003)
same_sex				0.062***	0.032***
				(0.005)	(0.005)
distance_t					-0.021***
					(0.001)
12.school	0.022	0.003	0.002	-0.031	-0.026
	(0.022)	(0.023)	(0.023)	(0.023)	(0.023)
13.school	0.011	0.013	0.009	-0.006	0.007
	(0.018)	(0.018)	(0.018)	(0.018)	(0.018)
14.school	0.010	0.010	0.001	0.004	0.011
	(0.019)	(0.019)	(0.019)	(0.019)	(0.019)
15.school	0.045**	0.044**	0.041*	0.029	0.042*
	(0.022)	(0.022)	(0.021)	(0.022)	(0.022)
16.school	0.069***	0.066***	0.065***	0.068***	0.076***
	(0.021)	(0.021)	(0.021)	(0.020)	(0.020)
21.school	-0.020	-0.021	-0.021	-0.020	-0.025
	(0.023)	(0.023)	(0.023)	(0.023)	(0.023)
22.school	0.081***	0.058**	0.055**	0.023	0.032
	(0.026)	(0.026)	(0.026)	(0.026)	(0.027)
23.school	0.063***	0.065***	0.063***	0.051**	0.062***
	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)
24.school	0.030	0.028	0.029	0.029	0.039
	(0.025)	(0.025)	(0.025)	(0.025)	(0.025)
25.school	0.034	0.035*	0.032	0.019	0.030
	(0.021)	(0.021)	(0.021)	(0.021)	(0.021)
26.school	0.024	0.023	0.025	0.028	0.041*
	(0.025)	(0.025)	(0.025)	(0.025)	(0.025)
Constant	0.220***	0.219	0.323*	0.253	0.330*
	(0.014)	(0.175)	(0.177)	(0.176)	(0.177)
					
Observations	22,565	22,565	22,565	22,565	22,565
R-squared	0.014	0.020	0.025	0.060	0.078
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
