id,partner
1110102,1110105
1110103,1110117
1110104,1110123
1110105,1110102
1110106,1110125
1110107,1110116
1110108,1110113
1110109,1110126
1110110,1110120
1110111,1110114
1110112,1110124
1110113,1110108
1110114,1110111
1110115,1110127
1110116,1110107
1110117,1110103
1110118,1110128
1110119,1110121
1110120,1110110
1110121,1110119
1110123,1110104
1110124,1110112
1110125,1110106
1110126,1110109
1110127,1110115
1110128,1110118
1110201,1110202
1110202,1110201
1110203,1110220
1110204,1110225
1110205,1110209
1110206,1110216
1110207,1110227
1110208,1110228
1110209,1110205
1110210,1110211
1110211,1110210
1110212,1110226
1110213,1110223
1110214,1110215
1110215,1110214
1110216,1110206
1110217,1110222
1110218,1110219
1110219,1110218
1110220,1110203
1110221,1110224
1110222,1110217
1110223,1110213
1110224,1110221
1110225,1110204
1110226,1110212
1110227,1110207
1110228,1110208
1110501,1110506
1110503,1110504
1110504,1110503
1110505,1110516
1110506,1110501
1110507,1110524
1110508,1110510
1110510,1110508
1110511,1110525
1110512,1110526
1110513,1110518
1110514,1110521
1110515,1110519
1110516,1110505
1110517,1110520
1110518,1110513
1110519,1110515
1110520,1110517
1110521,1110514
1110522,1110528
1110523,1110527
1110524,1110507
1110525,1110511
1110526,1110512
1110527,1110523
1110528,1110522
1110601,1110616
1110603,1110608
1110604,1110623
1110606,1110618
1110607,1110617
1110608,1110603
1110609,1110625
1110613,1110627
1110616,1110601
1110617,1110607
1110618,1110606
1110619,1110621
1110620,1110622
1110621,1110619
1110622,1110620
1110623,1110604
1110624,1110626
1110625,1110609
1110626,1110624
1110627,1110613
1120201,1120205
1120202,1120229
1120203,1120210
1120204,1120209
1120205,1120201
1120206,1120214
1120207,1120217
1120208,1120211
1120209,1120204
1120210,1120203
1120211,1120208
1120213,1120216
1120214,1120206
1120215,1120218
1120216,1120213
1120217,1120207
1120218,1120215
1120219,1120224
1120220,1120226
1120221,1120225
1120222,1120228
1120223,1120227
1120224,1120219
1120225,1120221
1120226,1120220
1120227,1120223
1120228,1120222
1120229,1120202
1120301,1120325
1120302,1120317
1120303,1120313
1120304,1120311
1120305,1120309
1120306,1120328
1120307,1120320
1120308,1120316
1120309,1120305
1120310,1120327
1120311,1120304
1120312,1120326
1120313,1120303
1120314,1120321
1120315,1120319
1120316,1120308
1120317,1120302
1120318,1120324
1120319,1120315
1120320,1120307
1120321,1120314
1120322,1120329
1120324,1120318
1120325,1120301
1120326,1120312
1120327,1120310
1120328,1120306
1120329,1120322
1120401,1120410
1120402,1120406
1120403,1120414
1120404,1120420
1120405,1120413
1120406,1120402
1120407,1120426
1120408,1120425
1120409,1120424
1120410,1120401
1120411,1120418
1120413,1120405
1120414,1120403
1120415,1120422
1120416,1120428
1120417,1120429
1120418,1120411
1120419,1120419
1120420,1120404
1120421,1120423
1120422,1120415
1120423,1120421
1120424,1120409
1120425,1120408
1120426,1120407
1120428,1120416
1120429,1120417
1120601,1120603
1120602,1120618
1120603,1120601
1120604,1120624
1120605,1120622
1120606,1120608
1120607,1120612
1120608,1120606
1120609,1120621
1120611,1120627
1120612,1120607
1120613,1120625
1120614,1120615
1120615,1120614
1120616,1120620
1120617,1120619
1120618,1120602
1120619,1120617
1120620,1120616
1120621,1120609
1120622,1120605
1120623,1120628
1120624,1120604
1120625,1120613
1120626,1120629
1120627,1120611
1120628,1120623
1120629,1120626
1210101,1210106
1210102,1210104
1210103,1210115
1210104,1210102
1210105,1210112
1210106,1210101
1210107,1210118
1210108,1210114
1210109,1210121
1210110,1210119
1210111,1210111
1210112,1210105
1210113,1210116
1210114,1210108
1210115,1210103
1210116,1210113
1210117,1210123
1210118,1210107
1210119,1210110
1210120,1210125
1210121,1210109
1210122,1210124
1210123,1210117
1210124,1210122
1210125,1210120
1210201,1210205
1210202,1210220
1210204,1210215
1210205,1210201
1210206,1210207
1210207,1210206
1210208,1210218
1210209,1210210
1210210,1210209
1210211,1210221
1210212,1210222
1210213,1210216
1210214,1210219
1210215,1210204
1210216,1210213
1210217,1210223
1210218,1210208
1210219,1210214
1210220,1210202
1210221,1210211
1210222,1210212
1210223,1210217
1210224,1210225
1210225,1210224
1210401,1210403
1210402,1210423
1210403,1210401
1210404,1210412
1210406,1210420
1210407,1210417
1210408,1210424
1210409,1210410
1210410,1210409
1210411,1210419
1210412,1210404
1210413,1210425
1210414,1210418
1210415,1210421
1210417,1210407
1210418,1210414
1210419,1210411
1210420,1210406
1210421,1210415
1210423,1210402
1210424,1210408
1210425,1210413
1210501,1210511
1210502,1210506
1210503,1210523
1210504,1210505
1210505,1210504
1210506,1210502
1210507,1210508
1210508,1210507
1210509,1210515
1210510,1210522
1210511,1210501
1210512,1210516
1210513,1210521
1210514,1210520
1210515,1210509
1210516,1210512
1210517,1210519
1210518,1210518
1210519,1210517
1210520,1210514
1210521,1210513
1210522,1210510
1210523,1210503
1210524,1210525
1210525,1210524
1220101,1220102
1220102,1220101
1220103,1220103
1220104,1220120
1220105,1220121
1220106,1220112
1220107,1220122
1220108,1220119
1220109,1220115
1220110,1220117
1220111,1220114
1220112,1220106
1220113,1220118
1220114,1220111
1220115,1220109
1220116,1220123
1220117,1220110
1220118,1220113
1220119,1220108
1220120,1220104
1220121,1220105
1220122,1220107
1220123,1220116
1220201,1220202
1220202,1220201
1220203,1220207
1220204,1220215
1220205,1220219
