WARP_Violations,#Pairs,GARP_Violations,#Pairs,SARP_Violations,#Pairs,AFRIAT_Index,VARIAN_Index_Min,VARIAN_Index_Mean,VARIAN_Index_AVG(SSQ),Is exact,Houtman-Maks-Index,Is exact,Subject
4,2,4,2,4,2,0.045566,0.045566,0.0047319,0.01423,1,0.11111,1,11101021
22,11,61,50,132,66,0.23774,0.23774,0.038525,0.084456,2,0.22222,1,11101022
10,5,28,23,58,29,0.25997,0.25997,0.029161,0.090813,2,0.16667,1,11101031
6,3,17,14,30,15,0.10492,0.10492,0.012619,0.037085,1,0.11111,1,11101032
14,7,38,31,74,37,0.30868,0.30868,0.037779,0.10507,2,0.22222,1,11101041
6,3,17,14,42,21,0.17926,0.17926,0.015198,0.04672,1,0.055556,1,11101042
20,10,61,51,116,58,0.22037,0.22037,0.037333,0.083414,2,0.27778,1,11101051
8,4,42,38,110,55,0.41162,0.41162,0.025807,0.097755,2,0.11111,1,11101061
18,9,65,56,134,67,0.33407,0.33407,0.038975,0.092649,2,0.22222,1,11101062
10,5,39,34,74,37,0.078633,0.078633,0.011857,0.026231,2,0.16667,1,11101071
20,10,41,31,76,38,0.13781,0.13781,0.023997,0.04993,2,0.22222,1,11101072
14,7,30,23,48,24,0.16086,0.16086,0.016665,0.044333,2,0.16667,1,11101081
10,5,35,30,90,45,0.1935,0.1935,0.027802,0.068654,2,0.11111,1,11101082
12,6,68,62,156,78,0.21121,0.21121,0.023202,0.062442,2,0.16667,1,11101091
2,1,4,3,6,3,0.010814,0.010814,0.00060077,0.0025488,1,0.055556,1,11101092
26,13,127,114,272,136,0.36271,0.64553,0.21357,0.28591,3,0.27778,1,11101101
16,8,84,76,210,105,0.21412,0.21412,0.029651,0.066814,2,0.22222,1,11101102
6,3,10,7,20,10,0.18699,0.18699,0.014287,0.047906,1,0.11111,1,11101111
22,11,74,63,134,67,0.29909,0.29951,0.04075,0.092974,2,0.27778,1,11101112
10,5,15,10,24,12,0.15235,0.15235,0.013129,0.038377,1,0.22222,1,11101121
12,6,53,47,110,55,0.15679,0.15679,0.017261,0.046622,2,0.16667,1,11101122
26,13,82,69,182,91,0.60255,0.70899,0.23995,0.36187,3,0.27778,1,11101131
42,21,136,115,240,120,0.53469,0.67094,0.28896,0.36035,3,0.27778,1,11101141
30,15,136,121,272,136,0.46422,0.55422,0.18101,0.24492,3,0.27778,1,11101151
16,8,31,23,46,23,0.17106,0.17106,0.025837,0.060478,2,0.27778,1,11101152
12,6,27,21,48,24,0.076852,0.076852,0.0086315,0.020358,2,0.22222,1,11101161
20,10,52,42,92,46,0.17163,0.17163,0.019931,0.048214,2,0.27778,1,11101171
14,7,38,31,68,34,0.22426,0.30643,0.030443,0.096162,2,0.16667,1,11101181
14,7,60,53,110,55,0.12464,0.12464,0.01675,0.041386,2,0.16667,1,11101182
12,6,69,63,156,78,0.26106,0.26106,0.033811,0.088313,2,0.16667,1,11101191
4,2,4,2,4,2,0.060009,0.060009,0.0044238,0.014881,1,0.11111,1,11101192
