Beta,A,Simulated_Mean_Beta,Simulated_Mean_A,Simulated_SD_Beta,Simulated_SD_A,Simulated_Low_95\%_Beta,Simulated_Low_95\%_A,Simulated_High_95\%_Beta,Simulated_High_95\%_A,MME_Criterion_Avg(SumOfSquares(Wastes)),Subject
0.038608,0.001348,-0.007565,0.007107,0.425374,0.180411,-0.575949,0.000824,0.764954,0.002136,0.23362,11101021
0.973485,0.000604,1.024284,0.000593,0.39881,0.000208,0.529108,0.000279,1.686765,0.000921,0.252723,11101022
0.136723,0.000792,0.205025,0.000746,0.353608,0.000217,-0.35334,0.000418,0.799604,0.001111,0.265358,11101031
-0.020888,0.000574,-0.013589,0.000567,0.1977,0.000178,-0.391365,0.000283,0.292128,0.000874,0.185149,11101032
0.119432,0.000802,0.150664,0.000778,0.226731,0.000197,-0.134506,0.000472,0.575739,0.001091,0.21827,11101041
0.181522,0.000768,0.355799,0.000723,0.569876,0.000287,-0.293046,0.00014,1.328801,0.001133,0.297977,11101042
0.219982,0.000121,0.135027,0.000246,0.168776,0.000233,-0.122909,0.000001,0.374763,0.000757,0.236005,11101051
0.406603,0.00113,0.713674,0.00772,1.252615,0.154724,-0.063077,0,1.808207,0.001756,0.302202,11101061
0.242757,0.000711,0.239135,0.000766,0.384926,0.000373,-0.371892,0.000197,0.810555,0.001408,0.28551,11101062
0.064033,0.000415,0.051206,0.000471,0.220653,0.00025,-0.319842,0.000144,0.348726,0.000884,0.165396,11101071
0.545574,0.001108,0.552718,0.001115,0.473966,0.000304,-0.12817,0.000691,1.417017,0.001631,0.181853,11101072
0.661428,0.00074,0.698501,0.003572,0.437934,0.089827,0.132736,0.000397,1.472974,0.001072,0.199569,11101081
-0.233094,0.000922,-0.0153,0.000716,0.37117,0.000416,-0.543938,0.00007,0.715624,0.001304,0.192208,11101082
0.454072,0.000253,0.397512,0.003593,0.311132,0.102264,0.004307,0.000001,0.942657,0.000905,0.28104,11101091
0.453623,0.000186,0.441264,0.003245,0.272749,0.095462,0.046538,0.000001,0.855114,0.000501,0.145933,11101092
0.51755,0.000691,0.646249,0.003138,0.690123,0.077524,-0.038438,0.000004,2.397227,0.00136,0.247813,11101101
0.276016,0.000627,0.399817,0.00059,0.572071,0.000229,-0.073531,0.000154,1.10017,0.000901,0.300065,11101102
0.773279,0.000502,0.777781,0.000504,0.367384,0.000249,0.196315,0.000033,1.488603,0.000931,0.173114,11101111
0.207205,0.000308,0.196235,0.00034,0.211133,0.000195,-0.174018,0.000106,0.534708,0.000748,0.176505,11101112
-0.042809,0.000725,0.010133,0.002768,0.211561,0.067545,-0.323048,0.000071,0.346079,0.001192,0.179331,11101121
0.028221,0.000973,0.078011,0.002879,0.17674,0.063176,-0.194746,0.000342,0.382762,0.001297,0.144971,11101122
-0.250189,0.001085,-0.250092,0.001099,0.098827,0.000156,-0.406889,0.000857,-0.094639,0.001367,0.171505,11101131
0.473767,0.000573,0.432567,0.003054,0.336007,0.0764,-0.052554,0.000153,0.972565,0.001287,0.237149,11101141
0.99298,0.000344,0.960585,0.000432,0.583589,0.000342,0.081848,0.000001,2.025385,0.001034,0.241768,11101151
0.891814,0.000119,0.902557,0.000108,0.386049,0.000137,0.302333,0,1.438657,0.00037,0.245084,11101152
0.021321,0.000808,0.05886,0.000731,0.168373,0.000355,-0.230236,0.000168,0.347321,0.00126,0.188718,11101161
0.150029,0.000957,0.246749,0.00419,0.301255,0.108451,-0.243776,0.000045,0.713444,0.001437,0.25501,11101171
0.234382,0.000161,0.224475,0.000285,0.285041,0.000359,-0.129514,0,0.670057,0.001205,0.260652,11101181
0.154821,0.000228,0.0402,0.000582,0.261581,0.000619,-0.571729,0.00001,0.376276,0.00176,0.221209,11101182
0.554917,0.000559,0.680888,0.000489,0.428483,0.000302,0.066927,0.000001,1.526542,0.000926,0.262152,11101191
0.853824,0.000224,0.928788,0.000195,0.667899,0.000254,0.121882,0,2.165271,0.000715,0.277666,11101192
0.919892,0.000004,0.961783,0.000144,0.578248,0.000239,0.062552,0,2.074003,0.000631,0.233189,11101201
0.330963,0.000434,0.253395,0.000637,0.324448,0.000348,-0.100531,0.000243,0.81755,0.001293,0.263045,11101211
0.072913,0.000792,0.186966,0.000647,0.348062,0.000352,-0.384777,0.000006,0.808225,0.001153,0.307639,11101231
0.131939,0.000301,0.104379,0.000344,0.16702,0.00009,-0.165398,0.000198,0.387096,0.000494,0.138704,11101241
0.483219,0.000131,0.369573,0.000326,0.303484,0.000334,-0.054804,0,0.902195,0.000897,0.223444,11101251
1.092325,0.000105,1.019042,0.002226,0.661899,0.059594,0.069025,0,2.201923,0.00119,0.296142,11101261
0.287755,0.00068,0.313604,0.00755,0.310856,0.155886,-0.142527,0.000368,0.832938,0.000997,0.148701,11101271
-0.323812,0.001001,-0.237607,0.000862,0.201388,0.000384,-0.556601,0.000355,0.073272,0.001463,0.133438,11101281
0.077696,0.000889,0.126736,0.002816,0.19496,0.062773,-0.165335,0.000258,0.500065,0.001191,0.13133,11102011
0.590782,0.000582,0.643964,0.000711,0.415486,0.000257,0.123397,0.000369,1.514249,0.001194,0.214108,11102012
0.131157,0.000319,0.094685,0.000409,0.263798,0.000286,-0.398837,0.000001,0.495602,0.000904,0.195838,11102021
0.159043,0.000647,0.229829,0.003539,0.321585,0.093014,-0.220648,0.000305,0.814411,0.000912,0.164572,11102031
-0.255492,0.001305,-0.215859,0.006504,0.234632,0.167504,-0.633646,0.000626,0.132328,0.001877,0.158075,11102032
0.186129,0.000435,0.403953,0.000314,0.500823,0.000296,-0.251354,0,1.345798,0.000739,0.22378,11102041
0.077689,0.000647,0.256759,0.004778,0.602038,0.12824,-0.466244,0.000013,1.4845,0.001326,0.253641,11102042
0.497854,0.000453,0.494526,0.000472,0.284571,0.000172,0.067896,0.000174,0.935622,0.000761,0.221523,11102051
0.228293,0.00029,0.20137,0.00034,0.202881,0.000187,-0.076592,0.000004,0.581982,0.000647,0.152006,11102052
-0.124303,0.000842,-0.09862,0.000811,0.195349,0.000238,-0.43254,0.000506,0.226015,0.001238,0.160502,11102061
0.711958,0.000941,0.707688,0.010703,0.38037,0.177701,0.075651,0.000576,1.313864,0.00157,0.106681,11102062
0.15916,0.00097,0.137882,0.00561,0.244692,0.145729,-0.254173,0.000497,0.572888,0.001517,0.142494,11102071
0.227025,0.000924,0.409831,0.005304,0.508585,0.101604,-0.250993,0.000008,1.153847,0.001549,0.224702,11102072
0.409925,0.00039,0.425655,0.000411,0.256199,0.000153,0.071402,0.000187,0.922098,0.000647,0.174728,11102081
0.696252,0.000002,0.614621,0.000228,0.59509,0.000348,-0.030125,0,1.870171,0.000952,0.255491,11102082
-0.092534,0.001079,-0.113606,0.00112,0.180592,0.000205,-0.376996,0.000857,0.199349,0.00148,0.146407,11102091
0.079258,0.000345,0.043421,0.000437,0.167836,0.000278,-0.280885,0.000156,0.264874,0.000997,0.216952,11102101
1.050703,0.000135,1.186032,0.000317,0.758118,0.000472,0.445876,0,2.992131,0.00126,0.217491,11102102
-0.053636,0.0004,-0.080482,0.000446,0.127946,0.00016,-0.305381,0.000239,0.091498,0.000716,0.189202,11102111
0.028863,0.000567,0.080561,0.000518,0.19915,0.000206,-0.193557,0.000142,0.461183,0.000828,0.161441,11102121
0.856503,0.000003,0.679699,0.000065,0.305715,0.000087,0.220277,0,1.068165,0.000244,0.217911,11102122
0.499507,0.00037,0.573715,0.000332,0.370711,0.000147,0.116632,0.000007,1.228405,0.000545,0.251565,11102131
1.421804,0.000044,1.101706,0.000326,0.743167,0.000343,0.064744,0,2.590241,0.000998,0.261681,11102132
0.376434,0.000418,0.391234,0.000418,0.307966,0.000164,-0.037712,0.000176,0.88849,0.000689,0.183467,11102141
0.518148,0.00019,0.533046,0.000205,0.331322,0.000156,0.010688,0,1.152032,0.00047,0.188845,11102142
0.959145,0.000005,0.842015,0.000144,0.502473,0.000241,0.238088,0,1.945702,0.000702,0.244588,11102151
-0.018007,0.000871,-0.028062,0.000882,0.172744,0.000219,-0.310019,0.00046,0.225969,0.001204,0.15043,11102161
0.511902,0.000303,0.599203,0.000274,0.472949,0.00025,-0.100841,0,1.423913,0.000722,0.317032,11102171
0.423162,0.000255,0.415366,0.000338,0.380894,0.000217,-0.226618,0.000027,0.952589,0.000735,0.250446,11102172
0.054424,0.000945,0.084328,0.000918,0.18421,0.000221,-0.22157,0.000593,0.404015,0.001321,0.146809,11102181
0.206995,0.000515,0.308393,0.00051,0.448233,0.000249,-0.18372,0.000004,1.23605,0.000898,0.244076,11102182
0.345996,0.000137,0.411627,0.000249,0.468429,0.000285,-0.038853,0,1.38997,0.000888,0.3141,11102191
1.415805,0.000318,1.338675,0.000611,1.234553,0.000541,-0.075711,0,3.937956,0.001575,0.336031,11102201
0.601261,0.0003,0.79726,0.020887,0.75598,0.231274,-0.030015,0,1.920363,0.000845,0.219979,11102211
0.351739,0.00044,0.42689,0.00035,0.268678,0.000206,0.055467,0.000002,0.914206,0.000647,0.18605,11102212
0.922477,0.000098,0.74885,0.000283,0.473759,0.000216,-0.015409,0.000001,1.607743,0.000642,0.245395,11102221
-0.022822,0.000605,-0.059879,0.000668,0.179659,0.00019,-0.332702,0.000466,0.261919,0.001065,0.114791,11102231
0.513414,0.000029,0.438649,0.000134,0.132468,0.000132,0.192295,0,0.633749,0.000357,0.175143,11102241
0.76858,0.000229,0.745654,0.000424,0.651294,0.000309,-0.043924,0.000001,1.949312,0.000963,0.18748,11102251
0.553243,0.000968,0.664904,0.000772,0.568016,0.000473,-0.16971,0.000001,1.66213,0.001557,0.258558,11102261
-0.168202,0.000964,-0.072301,0.000824,0.240316,0.000381,-0.506802,0.000066,0.264309,0.001332,0.21277,11102271
0.203775,0.000396,0.234521,0.000366,0.113831,0.000104,0.053566,0.000177,0.419448,0.000528,0.171116,11102281
0.957372,0.000164,1.084158,0.000236,0.778145,0.000229,0.109937,0,2.425676,0.000677,0.276174,11105011
0.514235,0.000634,0.63227,0.00268,0.342654,0.068228,0.039864,0.000017,1.198625,0.000982,0.232602,11105012
0.31216,0.000819,0.367149,0.000754,0.341429,0.000265,-0.10272,0.000372,1.004416,0.001189,0.23256,11105031
0.558589,0.00039,0.510959,0.000477,0.353418,0.000227,0.009278,0.000118,1.151056,0.000891,0.197828,11105032
