id,coord_x,coord_y,intercept_x,intercept_y,round_number,coord_y_real,x_w2,a_ind,r_ind
1110119,1492,1429,2890,2953,26,1428.475432525951,1460.580181413657,.4705745,.000054
1110127,807,1927,2794,2710,20,1927.261989978525,1375.679505813953,.32948518,.000149
1110203,747,857,1646,1569,35,856.9447144592953,803.2889580093314,.29644403,.000558
1110214,15,2707,2994,2721,31,2707.367735470942,1425.489763779527,.29117796,.000045000001
1110224,1326,1267,2565,2622,21,1266.533333333333,1296.593406593407,.5,.001593
1110225,2233,469,2674,2841,24,468.5418848167538,1377.485766092475,.31263015,.00083199999
1110505,1533,563,2018,2340,36,562.388503468781,1083.552088113814,.39270541,.000139
1120219,1187,1471,2696,2628,22,1470.939169139466,1330.78287002254,.31380346,.00028199999
1120220,1236,1212,2443,2453,26,1211.940646745804,1223.99489379085,.5,.003143
1120302,0,2584,2656,2584,23,2584,1309.752671755725,.36546555,.000011
1120302,0,2377,2800,2377,26,2377,1285.609426308673,.36546555,.000011
1120315,990,816,1769,1854,23,816.4307518371962,905.2514490753521,.37778133,0
1120321,0,1692,1740,1692,19,1692,857.8321678321679,.18766786,0
1120329,1364,1309,2482,2905,24,1308.537469782434,1338.446259513644,.25775176,.00039
1120329,1171,1287,2735,2250,30,1286.654478976234,1234.453360080241,.25775176,.00039
1120404,1078,1075,2004,2326,25,1074.788423153693,1076.513625866051,.5,.00097599998
1120407,2547,0,2547,1369,21,0,890.4093462717058,.94391805,1.457944
1120407,0,895,1940,895,23,895,612.4514991181658,.94391805,1.457944
1120407,2706,0,2706,2423,26,0,1278.346266328719,.94391805,1.457944
1120407,0,2213,389,2213,31,2213,330.8443504996157,.94391805,1.457944
1120407,2765,0,2765,1268,32,0,869.3330027274981,.94391805,1.457944
1120423,1192,474,1635,1751,29,474.4299694189603,845.5064973419964,.32800284,.00076800003
1210107,1033,1276,2354,2273,28,1275.545029736619,1156.395504646639,.37913054,0
1210213,2048,0,2048,479,22,0,388.2041946972695,.5,.201924
1210213,2081,0,2081,1479,24,0,864.5502808988763,.5,.201924
1210213,2934,0,2934,1691,28,0,1072.733837837838,.5,.201924
1210213,2830,0,2830,936,36,0,703.3669676048858,.5,.201924
1210217,1155,1105,2070,2498,22,1104.188405797101,1131.974605954466,.5,.00051300001
1210413,2316,0,2316,2577,27,0,1219.769466584917,.26850879,.00059700001
1210521,949,901,1848,1852,29,900.9458874458875,924.9989189189189,.42500418,.000141
1210521,889,915,1808,1799,32,914.425331858407,901.7443859162739,.42500418,.000141
1310101,2405,0,2405,2409,24,0,1203.499169090154,.28858155,1.0000000e-06
1310114,1357,862,2189,2267,23,861.6464138876199,1113.658662477558,.5,.00076000002
1310115,1045,1063,2113,2102,29,1062.440132513015,1053.742823250296,.25034979,.00039599999
1310125,1189,1422,2673,2561,27,1421.819678264123,1307.900840657241,.19512326,.00013499999
1310125,559,1453,2072,1990,28,1453.122586872587,1015.086164451009,.19512326,.00013499999
1310128,1303,1550,2914,2803,19,1549.633836650652,1428.711212174217,.42503181,.001443
1310130,899,691,1558,1632,28,690.3003851091144,797.0708463949844,.41579178,.00066999998
1310416,619,1396,2126,1969,19,1395.711665098777,1022.245177045177,.27313748,.00063999998
1310416,1499,553,2047,2064,24,552.5510503175378,1027.732425200681,.27313748,.00063999998
1310420,55,1990,2444,2036,23,1990.181669394435,1110.710714285714,.29959765,.000079999998
1310428,1357,1383,2764,2716,32,1382.565846599132,1369.894890510949,.39315486,.0023729999
1310603,919,751,1647,1699,33,750.9848208864602,836.2979677226539,.5,.00092399999
1310613,1039,1152,2205,2177,29,1151.193650793651,1095.455271565495,.2959981,1.0000000e-06
1310625,877,1977,2917,2827,20,1977.058621871786,1435.64745821727,.40580034,.00052
1311024,1296,1063,2358,2359,23,1062.450381679389,1179.249947000212,.5,.000451
1410121,1068,1001,2068,2070,29,1000.967117988395,1034.499758337361,.32376897,0
1410121,1367,1368,2964,2539,31,1368.010458839406,1367.544248591677,.32376897,0
1410121,1077,977,1893,2266,33,976.7860538827257,1031.386871844193,.32376897,0
1410122,810,763,1568,1577,30,762.3507653061224,786.243561208267,.5,.00097599998
1410412,825,981,1828,1788,34,981.0525164113784,903.8893805309734,.5,.00079199998
1410422,1245,1567,2940,2718,36,1567.010204081633,1412.322375397667,.22703294,.001143
1410802,1534,1080,2598,2636,21,1079.562740569669,1308.431027894536,.2380631,0
1410802,1431,1517,2989,2910,31,1516.821679491469,1474.485506017969,.2380631,0
1410810,0,2907,991,2907,20,2907,739.0551564905079,.5,1.6277781
1510213,1361,689,1958,2258,36,688.4708886618998,1048.663187855788,.5,.000474
1510319,945,1865,2837,2796,36,1864.657032076137,1408.175394993787,.5,.001172
1510623,1093,1441,2561,2513,31,1440.485747754783,1268.3864800946,.39592859,.00036199999
1510624,1352,1327,2645,2713,27,1326.241587901701,1339.284247853677,.5,.001822
1510624,812,775,1574,1601,34,775.0711562897077,793.6925984251968,.5,.001822
1511008,1154,1661,2868,2780,27,1661.408647140865,1411.657223796034,.3653295,.00021899999
1511016,1713,162,1866,1972,34,161.6913183279742,958.7681083897863,.34789929,0
1511020,1627,469,2069,2193,21,468.4900918318028,1064.598076020648,.40667385,.000409
1511028,547,1539,2295,2020,26,1538.544662309368,1074.368482039397,.3205311,.00048799999
1610201,1160,1135,2216,2381,33,1134.628158844765,1147.769414835762,.5,.00085299998
1610304,896,841,1553,1988,22,841.0276883451385,871.8904264332109,.36197615,.001122
