	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)
VARIABLES	CCEI	Non-parametricRiskAversion	Risk Premium	1(Risk Type=RDU)	pbl_all	pbl_korean	pbl_eng	pbl_math	pbl_science	pbl_socialsci	mathscore	class_sleep	class_participate	teacher_prepare	teacher_induce	class_practical	class_belonged	peer_sociable	peer_fair	peer_helpful	peer_selfish	peer_reciprocal	class_harass	value_fair	value_warmglow	value_trust	value_cowork	pbleffect_inclass	pbleffect_outlcass	pbleffect_friend	pbleffect_confidence	pbleffct_school	lifesatisfied
																																	
t	0.029***	0.021***	0.156**	0.011	1.780***	0.092	0.390***	0.311***	0.454***	0.533***	-0.527	0.125***	0.011	-0.199***	-0.091**	-0.159***	-0.049*	-0.051	-0.055	0.070	-0.235***	-0.087	0.012	-0.069**	-0.069**	0.021	0.025	-0.042	0.092	-0.007	-0.026	0.062	-0.139
	(0.010)	(0.008)	(0.060)	(0.022)	(0.385)	(0.115)	(0.115)	(0.093)	(0.095)	(0.096)	(0.373)	(0.032)	(0.032)	(0.035)	(0.039)	(0.038)	(0.029)	(0.044)	(0.045)	(0.065)	(0.037)	(0.054)	(0.030)	(0.034)	(0.030)	(0.043)	(0.036)	(0.034)	(0.061)	(0.054)	(0.056)	(0.066)	(0.097)
treatment	-0.010	0.003	0.019	-0.013	0.689	0.135	0.389***	0.302**	0.236**	-0.053	-0.201	0.020	-0.011	-0.016	-0.044	-0.053	-0.028	-0.026	0.019	0.016	-0.069	-0.048	0.104	0.003	0.009	0.031	0.030	0.050	0.017	-0.056	-0.004	0.038	-0.146
	(0.013)	(0.011)	(0.067)	(0.025)	(0.531)	(0.121)	(0.129)	(0.123)	(0.101)	(0.139)	(0.205)	(0.067)	(0.055)	(0.054)	(0.058)	(0.057)	(0.046)	(0.063)	(0.056)	(0.065)	(0.068)	(0.064)	(0.080)	(0.040)	(0.044)	(0.041)	(0.052)	(0.041)	(0.066)	(0.059)	(0.062)	(0.069)	(0.190)
txtreatment	0.004	0.009	0.019	0.014	2.164***	0.532***	0.245	0.451***	0.346**	0.269	0.193	0.081	-0.042	0.065	0.093	0.004	-0.000	0.024	-0.019	-0.039	0.051	0.058	0.003	0.022	0.004	0.075	0.001	0.052	0.027	0.003	0.001	-0.180**	0.103
	(0.014)	(0.012)	(0.096)	(0.032)	(0.679)	(0.165)	(0.169)	(0.163)	(0.145)	(0.168)	(0.490)	(0.053)	(0.045)	(0.058)	(0.057)	(0.058)	(0.040)	(0.057)	(0.060)	(0.074)	(0.058)	(0.072)	(0.049)	(0.047)	(0.043)	(0.060)	(0.051)	(0.048)	(0.067)	(0.064)	(0.069)	(0.089)	(0.130)
Constant	0.900***	0.662***	0.177***	0.213***	9.532***	2.138***	1.701***	1.710***	1.958***	2.025***	2.688***	1.648***	3.142***	3.456***	3.244***	2.949***	3.423***	1.794***	1.958***	3.157***	3.301***	1.879***	1.457***	3.508***	3.409***	1.951***	2.708***	2.743***	2.669***	3.094***	3.092***	2.921***	7.669***
	(0.010)	(0.008)	(0.050)	(0.019)	(0.281)	(0.062)	(0.062)	(0.081)	(0.071)	(0.081)	(0.136)	(0.041)	(0.035)	(0.036)	(0.037)	(0.041)	(0.034)	(0.042)	(0.041)	(0.058)	(0.046)	(0.049)	(0.049)	(0.023)	(0.031)	(0.029)	(0.035)	(0.027)	(0.054)	(0.046)	(0.046)	(0.053)	(0.142)
																																	
Observations	2,000	2,000	2,000	2,000	1,979	1,963	1,963	1,963	1,963	1,963	2,000	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,963	1,752	1,752	1,752	1,752	1,752	1,963
R-squared	0.015	0.010	0.006	0.001	0.147	0.073	0.103	0.120	0.117	0.095	0.018	0.012	0.001	0.020	0.003	0.011	0.002	0.001	0.002	0.001	0.017	0.002	0.009	0.003	0.003	0.005	0.001	0.007	0.006	0.002	0.000	0.004	0.001
Robust standard errors in parentheses																																	
*** p<0.01, ** p<0.05, * p<0.1																																	
