Beta,A,Simulated_Mean_Beta,Simulated_Mean_A,Simulated_SD_Beta,Simulated_SD_A,Simulated_Low_95\%_Beta,Simulated_Low_95\%_A,Simulated_High_95\%_Beta,Simulated_High_95\%_A,MME_Criterion_Avg(SumOfSquares(Wastes)),Subject
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11101021
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11101022
0.000000,0.001006,0.000000,0.003004,0.000000,0.060179,0.000000,0.000452,0.000000,0.002164,0.267431,11101031
0.000000,0.001410,0.000000,0.439132,0.000000,0.778737,0.000000,0.001131,0.000000,1.904663,0.098757,11101032
0.000000,0.000631,0.000000,0.000627,0.000000,0.000156,0.000000,0.000354,0.000000,0.000850,0.162866,11101041
0.000000,0.000935,0.000000,0.000927,0.000000,0.000205,0.000000,0.000561,0.000000,0.001276,0.133652,11101042
0.000000,0.000184,0.000000,0.000185,0.000000,0.000068,0.000000,0.000087,0.000000,0.000313,0.263353,11101051
0.000000,0.000000,0.000000,0.000008,0.000000,0.000012,0.000000,0.000000,0.000000,0.000029,0.343040,11101061
0.000000,0.000221,0.000000,0.000206,0.000000,0.000136,0.000000,0.000012,0.000000,0.000418,0.192693,11101062
0.000000,0.022192,0.000000,0.540677,0.000000,0.775339,0.000000,0.018598,0.000000,1.880291,0.031041,11101071
0.000000,0.013222,0.000000,0.105984,0.000000,0.307361,0.000000,0.004758,0.000000,1.168947,0.098896,11101072
0.000000,0.001606,0.000000,0.006627,0.000000,0.093072,0.000000,0.000761,0.000000,0.002427,0.241102,11101081
0.000000,0.000056,0.000000,0.000062,0.000000,0.000026,0.000000,0.000033,0.000000,0.000106,0.187334,11101082
0.000000,0.000267,0.000000,0.000303,0.000000,0.000145,0.000000,0.000128,0.000000,0.000657,0.222795,11101091
0.000000,0.000087,0.000000,0.000089,0.000000,0.000043,0.000000,0.000016,0.000000,0.000164,0.179679,11101092
0.000000,0.000835,0.000000,0.000836,0.000000,0.000237,0.000000,0.000485,0.000000,0.001375,0.169093,11101101
0.000000,0.000862,0.000000,0.000952,0.000000,0.000247,0.000000,0.000637,0.000000,0.001370,0.142178,11101102
0.000000,0.001055,0.000000,0.001036,0.000000,0.000201,0.000000,0.000681,0.000000,0.001338,0.125877,11101111
0.000000,0.000022,0.000000,0.000044,0.000000,0.000036,0.000000,0.000011,0.000000,0.000114,0.146402,11101112
0.000000,0.000020,0.000000,0.000021,0.000000,0.000007,0.000000,0.000017,0.000000,0.000029,0.000860,11101121
0.000000,0.000236,0.000000,0.000226,0.000000,0.000055,0.000000,0.000120,0.000000,0.000299,0.043232,11101122
0.000000,0.000235,0.000000,0.000255,0.000000,0.000109,0.000000,0.000123,0.000000,0.000457,0.206044,11101131
0.000000,0.000319,0.000000,0.000310,0.000000,0.000102,0.000000,0.000137,0.000000,0.000460,0.121254,11101141
0.000000,0.001146,0.000000,0.001379,0.000000,0.000727,0.000000,0.000690,0.000000,0.003028,0.219596,11101151
0.000000,0.000695,0.000000,0.002825,0.000000,0.066965,0.000000,0.000571,0.000000,0.000882,0.077489,11101152
0.000000,0.000513,0.000000,0.022457,0.000000,0.207792,0.000000,0.000278,0.000000,0.001127,0.200800,11101161
0.000000,0.002090,0.000000,0.012432,0.000000,0.146406,0.000000,0.001233,0.000000,0.003490,0.239798,11101171
0.000000,0.001167,0.000000,0.021846,0.000000,0.188395,0.000000,0.000880,0.000000,0.001597,0.080718,11101181
0.000000,0.002274,0.000000,0.293027,0.000000,0.615703,0.000000,0.001073,0.000000,1.594778,0.145646,11101182
0.000000,0.000165,0.000000,0.000153,0.000000,0.000055,0.000000,0.000084,0.000000,0.000230,0.008810,11101191
0.000000,0.000570,0.000000,0.000587,0.000000,0.000080,0.000000,0.000442,0.000000,0.000721,0.026198,11101192
0.000000,0.001167,0.000000,0.003064,0.000000,0.059226,0.000000,0.000652,0.000000,0.001915,0.114269,11101201
0.000000,0.001115,0.000000,0.048994,0.000000,0.299480,0.000000,0.000921,0.000000,0.001405,0.046518,11101211
0.000000,0.001081,0.000000,0.001035,0.000000,0.000211,0.000000,0.000625,0.000000,0.001304,0.133838,11101231
0.000000,0.000372,0.000000,0.002202,0.000000,0.057749,0.000000,0.000243,0.000000,0.000516,0.139241,11101241
0.000000,0.000810,0.000000,0.004247,0.000000,0.078144,0.000000,0.000396,0.000000,0.001051,0.087442,11101251
0.000000,0.000738,0.000000,0.000786,0.000000,0.000178,0.000000,0.000531,0.000000,0.001124,0.084602,11101261
0.000000,0.000768,0.000000,0.000818,0.000000,0.000194,0.000000,0.000555,0.000000,0.001154,0.180257,11101271
0.000000,0.001202,0.000000,0.095145,0.000000,0.411703,0.000000,0.000999,0.000000,1.163951,0.043248,11101281
0.000000,0.000583,0.000000,0.000633,0.000000,0.000177,0.000000,0.000434,0.000000,0.000919,0.135227,11102011
0.000000,0.000816,0.000000,0.000830,0.000000,0.000224,0.000000,0.000516,0.000000,0.001237,0.227164,11102012
0.000000,0.000270,0.000000,0.000309,0.000000,0.000159,0.000000,0.000123,0.000000,0.000645,0.191715,11102021
0.000000,0.001464,0.000000,0.010998,0.000000,0.133698,0.000000,0.001165,0.000000,0.002349,0.082636,11102031
0.000000,0.000661,0.000000,0.000702,0.000000,0.000230,0.000000,0.000341,0.000000,0.001070,0.134186,11102032
0.000000,0.001385,0.000000,0.001478,0.000000,0.000473,0.000000,0.000911,0.000000,0.002422,0.174721,11102041
0.000000,0.000966,0.000000,0.003356,0.000000,0.075249,0.000000,0.000758,0.000000,0.001196,0.086798,11102042
0.000000,0.001798,0.000000,0.259099,0.000000,0.670276,0.000000,0.001134,0.000000,2.158088,0.125880,11102051
0.000000,0.000317,0.000000,0.000333,0.000000,0.000106,0.000000,0.000179,0.000000,0.000518,0.110114,11102052
0.000000,0.001625,0.000000,0.012820,0.000000,0.143422,0.000000,0.001136,0.000000,0.002271,0.054547,11102061
