Beta,A,Simulated_Mean_Beta,Simulated_Mean_A,Simulated_SD_Beta,Simulated_SD_A,Simulated_Low_95\%_Beta,Simulated_Low_95\%_A,Simulated_High_95\%_Beta,Simulated_High_95\%_A,MME_Criterion_Avg(SumOfSquares(Wastes)),Subject
-0.177752,0.000007,-0.489671,0.000352,0.432984,0.000434,-0.999591,0.000004,0.098215,0.001134,0.000000,11101021
-0.999591,0.000758,-0.316557,0.000490,0.633839,0.000574,-0.999591,0.000000,0.447005,0.001441,0.000000,11101022
2.143972,0.000005,1.527413,0.009757,0.732043,0.173997,0.247233,0.000000,2.483112,0.000689,0.240278,11101031
-0.197341,0.001703,-0.038693,0.569027,0.568057,0.950617,-0.797805,0.001417,1.435317,1.969756,0.097568,11101032
0.290460,0.000387,0.290205,0.000420,0.205743,0.000221,-0.032655,0.000041,0.649831,0.000751,0.160277,11101041
0.026065,0.000917,0.105219,0.003698,0.296873,0.089207,-0.271632,0.000398,0.720902,0.001305,0.133624,11101042
0.035702,0.000159,0.051445,0.000148,0.116425,0.000092,-0.119372,0.000004,0.247474,0.000308,0.263299,11101051
-0.351315,0.000011,-0.304828,0.000017,0.290583,0.000014,-0.861158,0.000010,0.104652,0.000031,0.343040,11101061
0.093602,0.000138,0.173134,0.000095,0.280851,0.000104,-0.162490,0.000000,0.700461,0.000282,0.192435,11101062
0.909366,0.011419,0.841618,0.531246,0.782509,0.777140,-0.490046,0.004955,2.079068,1.878260,0.030771,11101071
7.458621,0.000043,4.638479,0.099505,3.037729,0.324010,-0.989993,0.000001,7.706433,1.161369,0.037804,11101072
1.688239,0.000294,1.610686,0.005831,0.405186,0.103194,1.041062,0.000000,2.407313,0.000868,0.203413,11101081
0.060724,0.000023,-0.010975,0.000120,0.258035,0.000379,-0.706662,0.000000,0.138200,0.000514,0.187139,11101082
0.524004,0.000001,0.485649,0.000062,0.379291,0.000113,0.031273,0.000000,1.150504,0.000292,0.214733,11101091
0.118200,0.000001,0.086363,0.000026,0.097689,0.000038,-0.030062,0.000000,0.205757,0.000101,0.179419,11101092
-0.030119,0.000860,0.006270,0.000843,0.219208,0.000238,-0.318814,0.000489,0.372470,0.001297,0.169054,11101101
0.207532,0.000712,0.135807,0.000854,0.235759,0.000360,-0.259691,0.000448,0.496785,0.001507,0.140580,11101102
0.397017,0.000718,0.339419,0.000775,0.434897,0.000302,-0.369575,0.000345,1.017566,0.001307,0.120356,11101111
-0.331061,0.000261,-0.172430,0.000171,0.267425,0.000149,-0.464706,0.000002,0.181932,0.000362,0.146401,11101112
-0.010083,0.000024,-0.198700,0.000226,0.326388,0.000443,-0.989974,0.000000,0.050679,0.001651,0.000859,11101121
0.313430,0.000049,0.273071,0.000061,0.102384,0.000055,0.093411,0.000000,0.398559,0.000165,0.036349,11101122
0.283281,0.000001,0.253932,0.000070,0.092989,0.000104,0.151555,0.000000,0.380355,0.000312,0.202946,11101131
0.489598,0.000000,0.462374,0.000029,0.188087,0.000064,0.177623,0.000000,0.769951,0.000185,0.111103,11101141
0.583140,0.000660,0.948049,0.000629,1.062061,0.000371,-0.074421,0.000001,3.436369,0.001124,0.214759,11101151
0.397296,0.000461,0.396355,0.004742,0.338162,0.094768,-0.102285,0.000235,1.094970,0.000958,0.072453,11101152
0.544831,0.000120,0.558087,0.022104,0.375661,0.207888,0.069326,0.000000,1.327693,0.000696,0.188587,11101161
0.854757,0.001039,0.895920,0.013920,0.532652,0.168300,0.237857,0.000452,1.860525,0.001838,0.229091,11101171
0.256098,0.000928,0.192604,0.023435,0.280956,0.196177,-0.183019,0.000723,0.660393,0.001562,0.077451,11101181
3.751241,0.000232,1.971986,0.488738,1.980878,0.876652,-0.989993,0.000184,4.142102,2.343543,0.026332,11101182
0.125062,0.000054,0.020371,0.000148,0.272628,0.000180,-0.484892,0.000027,0.238839,0.000504,0.006506,11101191
0.573225,0.000310,0.557940,0.000317,0.238069,0.000108,0.145899,0.000153,0.982642,0.000534,0.011723,11101192
0.797656,0.000602,0.956870,0.002424,0.516815,0.059249,-0.041106,0.000000,1.783191,0.001907,0.102699,11101201
-0.101849,0.001221,-0.059818,0.084691,0.255232,0.420078,-0.336573,0.000792,0.360779,0.001732,0.045895,11101211
-0.280329,0.001374,-0.263862,0.001363,0.244674,0.000381,-0.613789,0.000719,0.162704,0.001990,0.129965,11101231
0.635713,0.000006,0.597575,0.001846,0.120540,0.057760,0.364411,0.000000,0.756765,0.000135,0.125363,11101241
-0.128048,0.000922,0.054673,0.004228,0.240446,0.078145,-0.255310,0.000331,0.495686,0.001083,0.086675,11101251
0.434800,0.000464,0.575541,0.000451,0.350732,0.000229,0.069600,0.000120,1.176221,0.000928,0.077476,11101261
1.035038,0.000149,0.922847,0.000249,0.356267,0.000232,0.342291,0.000000,1.486038,0.000632,0.155785,11101271
0.604002,0.000818,0.561010,0.095919,0.259883,0.413260,0.212447,0.000562,0.845775,1.205212,0.029454,11101281
0.975192,0.000024,0.850114,0.000132,0.297628,0.000194,0.392807,0.000000,1.341165,0.000619,0.106399,11102011
0.579011,0.000385,0.805725,0.000346,0.634719,0.000251,-0.005241,0.000001,2.283314,0.000773,0.217215,11102012
0.730196,0.000002,0.749753,0.000004,0.363933,0.000015,0.215327,0.000000,1.370224,0.000006,0.168237,11102021
1.373318,0.000558,1.315958,0.011936,0.483866,0.146398,0.478669,0.000142,2.110312,0.001031,0.042536,11102031
0.554209,0.000281,0.446139,0.000403,0.463336,0.000299,-0.263943,0.000000,1.191428,0.000931,0.125547,11102032
0.859405,0.000701,0.828164,0.048189,0.682337,0.398137,0.033658,0.000292,2.200027,0.001821,0.160913,11102041
-0.270992,0.001248,-0.254116,0.005651,0.146870,0.098238,-0.459336,0.000961,-0.016888,0.001595,0.081868,11102042
1.041136,0.000663,0.860673,0.275864,0.605586,0.703628,-0.842953,0.000258,1.567259,2.306494,0.101655,11102051
0.478941,0.000007,0.377018,0.000092,0.147488,0.000141,0.142414,0.000000,0.624730,0.000408,0.102378,11102052
-0.169853,0.001858,-0.092043,0.015619,0.185285,0.166013,-0.334079,0.001047,0.217575,0.002420,0.053838,11102061
1.264745,0.000891,1.290467,0.009363,0.534911,0.117954,0.494955,0.000686,2.267793,0.001850,0.154920,11102062
0.763078,0.000180,1.048781,0.000227,0.943384,0.000203,0.258943,0.000000,3.274747,0.000552,0.206813,11102071
0.509637,0.000394,0.519769,0.021734,0.231713,0.259102,0.240121,0.000117,0.864068,0.000792,0.093629,11102072
0.119901,0.000010,0.010167,0.000091,0.336049,0.000231,-0.995349,0.000000,0.150484,0.000785,0.060187,11102081
0.097913,0.000197,0.171347,0.000136,0.124930,0.000092,0.021121,0.000001,0.332273,0.000264,0.056370,11102082
0.051812,0.000205,0.068754,0.000195,0.129132,0.000111,-0.149030,0.000002,0.280890,0.000382,0.036925,11102091
0.891019,2.010558,0.251896,1.730724,0.943678,0.488913,-0.989990,0.698581,1.800700,2.136749,0.000000,11102101
3.685922,0.000118,2.526751,0.243559,1.420445,0.641028,-0.131825,0.000090,3.892209,1.987782,0.014476,11102102
-0.915615,3.419259,0.116770,0.586227,0.497979,1.122383,-0.936708,0.000450,0.970881,3.493121,0.000000,11102111
0.451850,0.000000,0.456678,0.000014,0.166364,0.000056,0.223232,0.000000,0.755125,0.000071,0.206648,11102121
0.074396,0.000638,0.046241,0.069908,0.198514,0.430361,-0.238375,0.000311,0.282236,0.001281,0.101981,11102122
-0.982647,0.000558,-0.323628,0.000244,0.412144,0.000413,-0.989679,0.000000,0.098215,0.001142,0.000000,11102131
-0.177752,0.000007,-0.521316,0.000454,0.481048,0.000467,-0.997446,0.000002,0.151476,0.001142,0.000000,11102132
1.434326,0.000045,1.321278,0.015675,0.274105,0.155643,0.903427,0.000000,1.707718,0.000242,0.059779,11102141
0.212304,0.000002,0.222847,0.000015,0.208625,0.000071,0.011092,0.000000,0.588065,0.000077,0.303984,11102142
0.624187,0.001778,0.214860,0.437207,0.733606,0.797973,-0.989998,0.000766,1.277165,2.172715,0.133500,11102151
0.492978,0.001897,0.578668,0.087950,0.481137,0.419489,-0.099145,0.000947,1.501039,0.002247,0.044270,11102161
-0.174225,0.001668,-0.112596,0.020277,0.281320,0.185674,-0.501586,0.001169,0.342216,0.002309,0.038956,11102171
0.651165,0.000001,0.664874,0.000008,0.224247,0.000022,0.308555,0.000000,0.996103,0.000048,0.222045,11102172
0.730480,0.001064,0.455455,0.563791,0.610979,1.062314,-0.904853,0.000627,1.113317,2.745121,0.059716,11102181
0.471743,0.000229,0.486854,0.000262,0.384633,0.000248,-0.015163,0.000000,1.231655,0.000741,0.175558,11102182
-0.164098,0.000678,-0.119038,0.000663,0.234994,0.000419,-0.487236,0.000139,0.272804,0.001383,0.207809,11102191
-0.022850,0.001063,0.169552,0.000836,0.384344,0.000447,-0.337394,0.000001,0.803459,0.001405,0.181644,11102201
0.093415,0.002973,0.146799,0.807316,0.642889,0.978461,-0.894453,0.001409,1.526627,2.280824,0.046669,11102211
0.422970,0.000546,0.434108,0.000547,0.343285,0.000170,-0.108746,0.000289,1.015380,0.000862,0.093438,11102212
0.198450,0.000690,0.204547,0.099278,0.265225,0.490000,-0.154490,0.000433,0.595137,0.001041,0.141639,11102221
-0.009988,0.000440,-0.008696,0.000440,0.161740,0.000263,-0.302157,0.000005,0.204103,0.000889,0.162013,11102231
0.035459,0.001544,0.148251,0.378490,0.460476,0.737244,-0.275227,0.000620,1.256818,1.953682,0.035721,11102241
1.198668,0.000832,1.048693,0.072805,0.540932,0.447515,0.116773,0.000462,1.798274,0.003132,0.045271,11102251
0.990479,0.000002,0.925895,0.000061,0.423950,0.000144,0.302689,0.000000,1.731748,0.000419,0.196912,11102261
0.623078,0.001020,0.650606,0.000977,0.534354,0.000216,-0.071114,0.000621,1.585800,0.001297,0.180288,11102271
0.094090,0.000498,0.030584,0.012467,0.180182,0.177325,-0.343058,0.000329,0.264650,0.001645,0.105455,11102281
0.098264,0.000108,0.148341,0.000099,0.202043,0.000119,-0.004990,0.000000,0.532718,0.000279,0.198093,11105011
-0.026715,0.000096,-0.158931,0.000273,0.268422,0.000461,-0.849464,0.000038,0.071463,0.001181,0.076365,11105012
0.432722,0.000044,0.344255,0.000124,0.238035,0.000126,0.015042,0.000000,0.795615,0.000362,0.088929,11105031
0.860971,0.000139,0.895321,0.000153,0.238307,0.000089,0.525970,0.000017,1.351536,0.000283,0.049655,11105032
-0.009477,0.000406,0.042457,0.000418,0.166229,0.000180,-0.188126,0.000119,0.337597,0.000812,0.122915,11105041
0.546438,0.000139,0.493802,0.000192,0.160973,0.000154,0.232841,0.000009,0.741074,0.000512,0.161798,11105051
