Beta,Rho,Simulated_Mean_Beta,Simulated_Mean_Rho,Simulated_SD_Beta,Simulated_SD_Rho,Simulated_Low_95\%_Beta,Simulated_Low_95\%_Rho,Simulated_High_95\%_Beta,Simulated_High_95\%_Rho,MME_Criterion_Avg(SumOfSquares(Wastes)),Subject
0.000000,0.000000,0.000000,0.000365,0.000000,0.002497,0.000000,0.000000,0.000000,0.000000,0.000000,11101021
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11101022
0.000000,0.451386,0.000000,0.462099,0.000000,0.129646,0.000000,0.315169,0.000000,0.599514,0.255550,11101031
0.000000,0.941587,0.000000,0.975707,0.000000,0.202313,0.000000,0.689571,0.000000,1.354683,0.083227,11101032
0.000000,0.329502,0.000000,0.334457,0.000000,0.065605,0.000000,0.230693,0.000000,0.439523,0.159534,11101041
0.000000,0.465359,0.000000,0.500731,0.000000,0.134634,0.000000,0.343818,0.000000,0.828540,0.138172,11101042
0.000000,0.147372,0.000000,0.150291,0.000000,0.046238,0.000000,0.082136,0.000000,0.232997,0.258049,11101051
0.000000,0.013499,0.000000,0.026124,0.000000,0.022599,0.000000,0.008003,0.000000,0.074785,0.343048,11101061
0.000000,0.165779,0.000000,0.142244,0.000000,0.081338,0.000000,0.015843,0.000000,0.263773,0.191330,11101062
0.000000,8.967264,0.000000,14.167609,0.000000,10.032329,0.000000,6.815611,0.000000,34.398358,0.031836,11101071
0.000000,2.858072,0.000000,7.207569,0.000000,6.483788,0.000000,1.709659,0.000000,19.203224,0.099077,11101072
0.000000,0.590697,0.000000,0.651278,0.000000,0.218343,0.000000,0.413208,0.000000,1.009877,0.232222,11101081
0.000000,0.053307,0.000000,0.056460,0.000000,0.033691,0.000000,0.015345,0.000000,0.119048,0.186986,11101082
0.000000,0.272169,0.000000,0.272857,0.000000,0.082241,0.000000,0.143947,0.000000,0.409536,0.202404,11101091
0.000000,0.077050,0.000000,0.074310,0.000000,0.025902,0.000000,0.022574,0.000000,0.110974,0.178526,11101092
0.000000,0.405134,0.000000,0.424336,0.000000,0.106338,0.000000,0.290834,0.000000,0.657260,0.162381,11101101
0.000000,0.647581,0.000000,0.638406,0.000000,0.087205,0.000000,0.485501,0.000000,0.773074,0.093614,11101102
0.000000,0.487241,0.000000,0.530430,0.000000,0.119635,0.000000,0.376599,0.000000,0.731799,0.121760,11101111
0.000000,0.030106,0.000000,0.041327,0.000000,0.023973,0.000000,0.012790,0.000000,0.079255,0.146417,11101112
0.000000,0.017563,0.000000,0.016172,0.000000,0.008020,0.000000,0.000000,0.000000,0.023516,0.000882,11101121
0.000000,0.161458,0.000000,0.154504,0.000000,0.035738,0.000000,0.087215,0.000000,0.206680,0.044750,11101122
0.000000,0.147715,0.000000,0.148146,0.000000,0.049162,0.000000,0.076561,0.000000,0.235302,0.204409,11101131
0.000000,0.211225,0.000000,0.208062,0.000000,0.049437,0.000000,0.128418,0.000000,0.280699,0.112510,11101141
0.000000,0.512822,0.000000,0.619039,0.000000,0.234973,0.000000,0.343485,0.000000,1.045100,0.206599,11101151
0.000000,0.380133,0.000000,0.393002,0.000000,0.071036,0.000000,0.324380,0.000000,0.464569,0.084589,11101152
0.000000,0.365230,0.000000,0.373990,0.000000,0.099117,0.000000,0.245531,0.000000,0.523032,0.170023,11101161
0.000000,0.877189,0.000000,0.959777,0.000000,0.316187,0.000000,0.602496,0.000000,1.609830,0.217670,11101171
0.000000,0.563930,0.000000,0.644929,0.000000,0.183139,0.000000,0.469099,0.000000,1.014479,0.094831,11101181
0.000000,0.789031,0.000000,2.540858,0.000000,2.560809,0.000000,0.633814,0.000000,6.999943,0.118571,11101182
0.000000,0.098398,0.000000,0.074292,0.000000,0.052884,0.000000,0.000000,0.000000,0.140509,0.014030,11101191
0.000000,0.328635,0.000000,0.327761,0.000000,0.027943,0.000000,0.276106,0.000000,0.370089,0.035066,11101192
0.000000,0.513082,0.000000,0.586921,0.000000,0.211172,0.000000,0.424928,0.000000,1.129845,0.093061,11101201
0.000000,0.803028,0.000000,0.818983,0.000000,0.098221,0.000000,0.697588,0.000000,1.022493,0.033655,11101211
0.000000,0.598579,0.000000,0.593611,0.000000,0.105504,0.000000,0.412770,0.000000,0.750374,0.112116,11101231
0.000000,0.226577,0.000000,0.231321,0.000000,0.063095,0.000000,0.163333,0.000000,0.306901,0.140298,11101241
0.000000,0.394576,0.000000,0.396485,0.000000,0.098784,0.000000,0.247386,0.000000,0.548981,0.098460,11101251
0.000000,0.446976,0.000000,0.454264,0.000000,0.053502,0.000000,0.395392,0.000000,0.528309,0.082243,11101261
0.000000,0.437093,0.000000,0.456207,0.000000,0.082857,0.000000,0.357203,0.000000,0.638374,0.150961,11101271
0.000000,0.797267,0.000000,0.970962,0.000000,0.437170,0.000000,0.715719,0.000000,1.367933,0.042013,11101281
0.000000,0.344239,0.000000,0.351406,0.000000,0.080864,0.000000,0.271358,0.000000,0.443872,0.122045,11102011
0.000000,0.349409,0.000000,0.356349,0.000000,0.071556,0.000000,0.240047,0.000000,0.468703,0.229951,11102012
0.000000,0.260627,0.000000,0.249764,0.000000,0.075077,0.000000,0.104291,0.000000,0.358942,0.176091,11102021
0.000000,0.601471,0.000000,0.743542,0.000000,0.274852,0.000000,0.516338,0.000000,1.198096,0.106100,11102031
0.000000,0.483128,0.000000,0.477659,0.000000,0.084712,0.000000,0.330280,0.000000,0.609215,0.093828,11102032
0.000000,0.694339,0.000000,0.756586,0.000000,0.209212,0.000000,0.561746,0.000000,1.225404,0.152170,11102041
0.000000,0.607086,0.000000,0.614678,0.000000,0.090328,0.000000,0.490471,0.000000,0.750197,0.073095,11102042
0.000000,0.549200,0.000000,1.011303,0.000000,0.681161,0.000000,0.426689,0.000000,2.255370,0.168186,11102051
0.000000,0.219386,0.000000,0.221166,0.000000,0.042056,0.000000,0.153069,0.000000,0.291510,0.097933,11102052
0.000000,0.870966,0.000000,0.923985,0.000000,0.205328,0.000000,0.694129,0.000000,1.377023,0.047402,11102061
0.000000,0.993028,0.000000,1.293485,0.000000,0.539249,0.000000,0.739401,0.000000,2.188863,0.178353,11102062
0.000000,0.609527,0.000000,0.609042,0.000000,0.123640,0.000000,0.429755,0.000000,0.821082,0.170707,11102071
0.000000,0.423111,0.000000,0.443231,0.000000,0.093048,0.000000,0.345952,0.000000,0.555889,0.105489,11102072
0.000000,0.053691,0.000000,0.049071,0.000000,0.019673,0.000000,0.000000,0.000000,0.067663,0.059970,11102081
0.000000,0.156222,0.000000,0.157898,0.000000,0.048481,0.000000,0.086554,0.000000,0.244129,0.064457,11102082
0.000000,0.165363,0.000000,0.164833,0.000000,0.030360,0.000000,0.116724,0.000000,0.214226,0.037951,11102091
0.000000,12.303064,0.000000,15.760008,0.000000,8.443212,0.000000,6.681749,0.000000,29.312389,0.007341,11102101
0.000000,0.571497,0.000000,2.186199,0.000000,4.724772,0.000000,0.505456,0.000000,10.624896,0.162173,11102102
0.000000,0.604471,0.000000,0.631800,0.000000,0.119163,0.000000,0.462329,0.000000,0.817479,0.036707,11102111
0.000000,0.203524,0.000000,0.204732,0.000000,0.043847,0.000000,0.141180,0.000000,0.282248,0.204803,11102121
0.000000,0.523298,0.000000,0.542980,0.000000,0.098838,0.000000,0.388223,0.000000,0.706211,0.080393,11102122
0.000000,0.000000,0.000000,0.000243,0.000000,0.001745,0.000000,0.000000,0.000000,0.000000,0.000000,11102131
0.000000,0.000000,0.000000,0.000169,0.000000,0.001472,0.000000,0.000000,0.000000,0.000000,0.000000,11102132
0.000000,0.445066,0.000000,0.498192,0.000000,0.346084,0.000000,0.368029,0.000000,0.571621,0.134621,11102141
0.000000,0.126675,0.000000,0.118906,0.000000,0.054973,0.000000,0.025719,0.000000,0.202349,0.303927,11102142
0.000000,1.420894,0.000000,1.472634,0.000000,0.294128,0.000000,1.051346,0.000000,2.015983,0.104458,11102151
0.000000,1.581158,0.000000,1.572829,0.000000,0.242808,0.000000,1.198194,0.000000,1.971877,0.043986,11102161
0.000000,0.898492,0.000000,0.885732,0.000000,0.102022,0.000000,0.703785,0.000000,1.047748,0.038460,11102171
0.000000,0.228402,0.000000,0.230637,0.000000,0.045222,0.000000,0.155352,0.000000,0.305661,0.228061,11102172
0.000000,1.160104,0.000000,1.161184,0.000000,0.127204,0.000000,0.958164,0.000000,1.361676,0.030519,11102181
0.000000,0.360633,0.000000,0.367559,0.000000,0.065820,0.000000,0.268625,0.000000,0.479713,0.142966,11102182
0.000000,0.304309,0.000000,0.308919,0.000000,0.081131,0.000000,0.187542,0.000000,0.459535,0.192156,11102191
0.000000,0.529333,0.000000,0.533761,0.000000,0.076163,0.000000,0.401142,0.000000,0.653733,0.119828,11102201
0.000000,1.946967,0.000000,2.033640,0.000000,0.338216,0.000000,1.682214,0.000000,2.561220,0.046108,11102211
0.000000,0.562713,0.000000,0.559853,0.000000,0.079670,0.000000,0.441471,0.000000,0.692609,0.093171,11102212
0.000000,0.610137,0.000000,0.617622,0.000000,0.085724,0.000000,0.486168,0.000000,0.763073,0.138348,11102221
0.000000,0.260844,0.000000,0.266930,0.000000,0.090661,0.000000,0.117523,0.000000,0.422865,0.157822,11102231
0.000000,0.951957,0.000000,0.995359,0.000000,0.151701,0.000000,0.830881,0.000000,1.274603,0.021052,11102241
0.000000,1.149081,0.000000,1.247525,0.000000,0.336796,0.000000,0.922176,0.000000,1.792110,0.054561,11102251
0.000000,0.343872,0.000000,0.344094,0.000000,0.069994,0.000000,0.226039,0.000000,0.459101,0.182811,11102261
0.000000,0.752198,0.000000,0.760770,0.000000,0.154037,0.000000,0.550943,0.000000,1.037572,0.171805,11102271
0.000000,0.480172,0.000000,0.482672,0.000000,0.076710,0.000000,0.366188,0.000000,0.606974,0.069092,11102281
