Beta,Rho,Simulated_Mean_Beta,Simulated_Mean_Rho,Simulated_SD_Beta,Simulated_SD_Rho,Simulated_Low_95\%_Beta,Simulated_Low_95\%_Rho,Simulated_High_95\%_Beta,Simulated_High_95\%_Rho,MME_Criterion_Avg(SumOfSquares(Wastes)),Subject
-0.270164,0.887308,-0.293383,0.946762,0.230363,0.214881,-0.701255,0.666291,0.060685,1.304414,0.194224,11101021
0.670527,0.364798,0.592357,0.430186,0.342918,0.163583,0.037819,0.242193,1.179738,0.73935,0.235036,11101022
0.200362,0.378416,0.25245,0.374551,0.311131,0.086266,-0.151052,0.231342,0.900886,0.527633,0.261407,11101031
-0.065057,0.394325,-0.095196,0.42445,0.188086,0.122758,-0.47265,0.28486,0.156222,0.653829,0.172514,11101032
-0.062282,0.591371,-0.043757,0.597134,0.166442,0.102392,-0.278084,0.445633,0.26044,0.780666,0.197138,11101041
-0.25642,0.799837,-0.233255,0.801274,0.219209,0.110265,-0.5146,0.635281,0.137628,0.987423,0.250283,11101042
-0.190196,0.384481,-0.188663,0.388482,0.093764,0.088291,-0.345165,0.234188,-0.036999,0.540096,0.217307,11101051
0.034355,0.622724,0.024292,0.670064,0.249032,0.215784,-0.355019,0.380087,0.446903,1.082146,0.257071,11101061
0.04526,0.436543,0.03055,0.458785,0.211529,0.101879,-0.308283,0.324808,0.385861,0.63409,0.264723,11101062
-0.103206,0.409782,-0.084823,0.401125,0.123337,0.10666,-0.304963,0.185995,0.119731,0.546848,0.146387,11101071
0.228915,0.608086,0.273153,0.620837,0.300896,0.147978,-0.149423,0.418617,0.824866,0.859675,0.153059,11101072
0.412864,0.458221,0.483346,0.451713,0.365103,0.129482,0.049901,0.293363,1.227018,0.708046,0.191157,11101081
-0.034889,0.401755,-0.025308,0.425132,0.225753,0.193371,-0.354399,0.132324,0.380884,0.743501,0.180082,11101082
0.007577,0.406981,0.015081,0.423391,0.164889,0.120429,-0.211784,0.266332,0.317879,0.646019,0.254799,11101091
0.069385,0.332977,0.091833,0.330989,0.136851,0.081306,-0.085719,0.21467,0.349414,0.480951,0.126211,11101092
0.187286,0.489848,0.220222,0.510706,0.242713,0.171563,-0.055412,0.327857,0.653216,0.757937,0.222759,11101101
0.018542,0.509214,0.061219,0.509355,0.200248,0.126625,-0.225028,0.303642,0.373752,0.725,0.283109,11101102
0.235276,0.531119,0.276689,0.514803,0.232319,0.107518,-0.056835,0.338382,0.698753,0.682693,0.150435,11101111
0.083817,0.249022,0.083451,0.255035,0.171903,0.08775,-0.20423,0.123614,0.385716,0.413089,0.17038,11101112
-0.067567,0.437009,-0.098872,0.497402,0.134181,0.197103,-0.34595,0.229367,0.109924,0.921657,0.152161,11101121
-0.083451,0.64584,-0.045241,0.613779,0.138232,0.118658,-0.265118,0.407629,0.191991,0.774336,0.116236,11101122
-0.005125,0.435746,-0.016938,0.452717,0.095933,0.087139,-0.170594,0.325517,0.119727,0.597785,0.178255,11101131
0.419734,0.293353,0.304132,0.400547,0.28044,0.200577,-0.105889,0.184291,0.814194,0.762125,0.228732,11101141
0.23146,0.51573,0.26995,0.509468,0.281424,0.11039,-0.144178,0.345897,0.762065,0.697981,0.196444,11101151
0.343209,0.247462,0.377045,0.245111,0.302737,0.058485,-0.020899,0.140592,0.905888,0.326726,0.231678,11101152
0.037048,0.434947,0.03581,0.461187,0.168498,0.152307,-0.221112,0.274096,0.31478,0.803006,0.168492,11101161
0.105595,0.449197,0.117507,0.455258,0.163937,0.141753,-0.140728,0.220347,0.380612,0.673756,0.2329,11101171
-0.38559,0.679535,-0.357429,0.665405,0.159434,0.172584,-0.61488,0.391032,-0.100332,0.935011,0.224678,11101181
-0.204381,0.489468,-0.186043,0.510994,0.147268,0.21225,-0.450757,0.163152,0.052727,0.888305,0.190918,11101182
0.095413,0.467982,0.093998,0.476942,0.166827,0.083031,-0.131596,0.358788,0.365312,0.634354,0.229133,11101191
-0.008202,0.520212,0.014258,0.53328,0.237828,0.105435,-0.303033,0.382258,0.509654,0.726708,0.230278,11101192
0.126579,0.409957,0.185556,0.403033,0.25166,0.095516,-0.147059,0.259349,0.648257,0.589846,0.208422,11101201
-0.10009,0.564804,-0.086488,0.557383,0.179128,0.119778,-0.36871,0.356216,0.220493,0.762662,0.230368,11101211
-0.15018,0.597996,-0.161982,0.621053,0.186023,0.146053,-0.481682,0.399195,0.125627,0.852079,0.276887,11101231
0.098206,0.221434,0.114051,0.213812,0.094068,0.055347,-0.027925,0.12773,0.286292,0.306732,0.135475,11101241
-0.102336,0.452949,-0.092709,0.454563,0.138568,0.095684,-0.29899,0.311641,0.15729,0.617854,0.183795,11101251
0.024999,0.581495,-0.014802,0.64946,0.21968,0.23036,-0.401628,0.385711,0.334806,1.126873,0.249651,11101261
0.221177,0.39981,0.22604,0.417353,0.178634,0.08762,-0.031378,0.298807,0.587389,0.590539,0.137876,11101271
-0.193539,0.533744,-0.205521,0.569361,0.144963,0.177842,-0.451075,0.33641,0.024921,0.924351,0.105969,11101281
0.004903,0.598788,0.029248,0.588894,0.15795,0.148487,-0.213953,0.319656,0.302547,0.817696,0.109749,11102011
0.252004,0.540965,0.320596,0.513828,0.245035,0.114195,0.0099,0.342938,0.713011,0.705697,0.188534,11102012
-0.121011,0.413036,-0.148383,0.443329,0.206934,0.133848,-0.578974,0.269826,0.151986,0.699607,0.170262,11102021
0.079081,0.412061,0.124156,0.418899,0.275742,0.106367,-0.213782,0.246648,0.67418,0.617674,0.143089,11102031
-0.165614,0.599664,-0.164494,0.613749,0.138765,0.14608,-0.390158,0.368415,0.063287,0.851561,0.144102,11102032
-0.084294,0.476396,-0.08186,0.480938,0.172075,0.088777,-0.330883,0.353256,0.210721,0.639418,0.185142,11102041
-0.129926,0.578201,-0.100514,0.611488,0.238112,0.146387,-0.365772,0.413621,0.313048,0.876101,0.225681,11102042
0.309033,0.310949,0.323244,0.314912,0.175861,0.071614,0.041328,0.212428,0.60182,0.429285,0.215492,11102051
0.081867,0.279247,0.094935,0.276677,0.140212,0.067233,-0.101769,0.17495,0.333685,0.394261,0.137867,11102052
0.030927,0.358825,0.048698,0.359272,0.183441,0.087407,-0.203826,0.232646,0.361334,0.513522,0.156489,11102061
0.578666,0.550574,0.500935,0.615598,0.346664,0.181752,-0.071687,0.412887,1.069316,0.952441,0.083218,11102062
0.131676,0.554876,0.119333,0.578534,0.184983,0.126,-0.166859,0.399877,0.423656,0.829498,0.109902,11102071
