Beta,Rho,Simulated_Mean_Beta,Simulated_Mean_Rho,Simulated_SD_Beta,Simulated_SD_Rho,Simulated_Low_95\%_Beta,Simulated_Low_95\%_Rho,Simulated_High_95\%_Beta,Simulated_High_95\%_Rho,MME_Criterion_Avg(SumOfSquares(Wastes)),Subject
-1.000000,0.002883,-1.000000,0.009257,0.000000,0.011269,-1.000000,0.000030,-1.000000,0.028651,0.000000,11101021
-1.000000,0.000926,-1.000000,0.006088,0.000000,0.008350,-1.000000,0.000326,-1.000000,0.025897,0.000000,11101022
1.260733,0.161356,1.171922,0.199479,0.691057,0.119665,0.087327,0.062255,2.253456,0.324738,0.236196,11101031
-0.217340,1.199194,-0.187880,1.206884,0.130202,0.244914,-0.365430,0.832088,0.065576,1.614368,0.081403,11101032
0.274215,0.235024,0.306546,0.232754,0.197767,0.058408,0.003368,0.133962,0.655558,0.319575,0.153771,11101041
0.257826,0.388616,0.320865,0.411899,0.306096,0.140075,-0.060146,0.277993,0.922881,0.767215,0.132189,11101042
-0.217952,0.259588,-0.251451,0.281019,0.147450,0.079975,-0.520172,0.157628,-0.061554,0.419356,0.256729,11101051
-0.997707,0.999999,-0.993335,0.989019,0.058354,0.082365,-0.998289,0.999999,-0.996045,0.999999,1.000000,11101061
0.010388,0.161340,-0.011795,0.185822,0.365793,0.245872,-0.997716,0.000356,0.383751,0.999999,0.191310,11101062
-0.746553,138.475229,0.868130,19.192854,0.943529,37.079343,-0.812031,1.457649,2.371875,130.341419,0.000000,11101071
7.148762,0.050799,4.170311,6.095612,3.156829,15.751744,-0.161741,0.000026,7.706422,17.048738,0.037752,11101072
1.208655,0.255915,1.084758,0.302959,0.444926,0.159441,0.401636,0.131721,1.812811,0.552615,0.192372,11101081
-0.019179,0.062502,-0.219468,0.174809,0.330784,0.207821,-0.976675,0.010242,0.061458,0.665683,0.187003,11101082
0.036020,0.257179,0.092681,0.242226,0.171824,0.071351,-0.083800,0.131878,0.458830,0.352097,0.202155,11101091
-0.017259,0.084974,-0.075874,0.124534,0.212022,0.171330,-0.406887,0.040737,0.081038,0.206914,0.178520,11101092
0.079211,0.376106,0.097562,0.397219,0.191849,0.139275,-0.198231,0.249799,0.431194,0.734140,0.161343,11101101
-0.067714,0.687788,-0.020937,0.666276,0.249731,0.210711,-0.413963,0.360404,0.368557,0.966762,0.093376,11101102
0.359991,0.367843,0.299714,0.444905,0.378319,0.191344,-0.277513,0.213476,0.968465,0.789155,0.112713,11101111
-0.634668,0.228853,-0.529458,0.195851,0.232608,0.085372,-0.749419,0.008001,0.034217,0.280553,0.146501,11101112
-0.221269,0.077180,-0.328765,0.109943,0.308139,0.163620,-0.974356,0.000644,0.044733,0.373594,0.000912,11101121
0.302316,0.041668,0.271637,0.043252,0.087646,0.027469,0.136590,0.000940,0.379706,0.088481,0.036069,11101122
0.191742,0.062474,0.216448,0.063059,0.094667,0.049937,0.117042,0.000870,0.380260,0.147375,0.202024,11101131
