id,score,participant.label,player.cq1,player.cq2,player.cq3,player.cq4,player.cq5,player.cq6,player.cq7
1311012,2,C11012,1,1,5,4,3,100,24
1311017,3,C11017,3,1,3,2,4,100,47
1311016,5,C11016,3,1,5,2,5,5,12
1311025,1,C11025,4,2,5,3,2,5,24
1311015,3,C11015,1,1,5,2,1,5,24
1311018,1,C11018,2,3,5,4,1,5,24
1311020,3,C11020,1,1,3,2,5,20,47
1311023,4,C11023,3,3,5,2,5,5,47
1311019,1,C11019,2,2,5,4,4,46,45
1311021,0,C11021,4,2,1,1,1,1000,24
1311009,2,C11009,3,3,4,5,5,500,36
1311013,4,C11013,3,1,4,2,5,100,12
1311011,1,C11011,1,3,1,2,3,5,24
1311002,5,C11002,3,1,5,2,5,5,47
1311014,5,C11014,3,1,5,2,5,5,24
1311008,4,C11008,3,3,5,2,5,100,24
1311003,3,C11003,3,4,5,1,5,5,12
1311001,2,C11001,4,2,3,2,5,100,24
1311010,1,C11010,3,4,4,3,3,5,24
1311024,1,C11024,3,2,2,4,2,0,0
1311007,3,C11007,3,4,5,2,4,100,24
1311005,1,C11005,1,3,3,5,5,5,48
1311004,2,C11004,3,1,4,1,2,100,24
1311022,2,C11022,1,3,1,2,5,20,12
1311006,1,C11006,1,3,2,2,4,100,24
1310626,1,C10626,5,4,5,3,4,40,24
1310601,4,C10601,3,4,5,2,5,100,24
1310603,3,C10603,3,2,5,2,4,100,24
1310618,2,C10618,3,4,5,1,2,100,24
1310607,5,C10607,3,1,5,2,5,100,47
1310622,2,C10622,3,2,5,1,3,100,24
1310610,1,C10610,1,3,5,4,4,100,24
1310609,2,C10609,3,2,5,4,3,100,24
1310621,3,C10621,3,2,4,2,5,100,24
1310615,0,C10615,5,4,3,4,3,100,24
1310605,3,C10605,3,4,5,2,3,5,32
1310623,4,C10623,3,2,5,2,5,5,24
1310606,4,C10606,3,4,5,2,5,100,24
1310617,2,C10617,5,4,5,2,1,100,24
1310624,2,C10624,3,2,5,4,1,14,24
1310602,2,C10602,3,4,5,4,1,100,12
1310620,1,C10620,4,2,1,2,3,3000,24
1310608,2,C10608,3,4,2,1,5,100,96
1310616,4,C10616,3,1,5,2,1,5,24
1310613,5,C10613,3,1,5,2,5,100,24
1310614,3,C10614,5,1,5,2,4,5,16
1310619,2,C10619,3,4,5,4,2,100,24
1310625,3,C10625,4,4,5,2,5,100,24
1310612,3,C10612,5,1,5,2,4,100,12
1310611,2,C10611,3,4,5,4,3,100,24
1310427,3,C10427,3,4,5,2,1,100,12
1310425,2,C10425,3,2,2,3,5,100,47
1310423,4,C10423,3,1,5,2,2,20,24
1310418,3,C10418,4,4,5,2,5,20,12
1310405,1,C10405,5,4,5,1,4,100,24
1310429,1,C10429,2,1,1,3,4,100,24
