="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="RA_g",="RA_g",="RA_g",="RA_g",="RA_g"
="RA_highCCEI",="0.472**",="0.421**",="",="0.323**",="0.307**"
="",="(0.028)",="(0.037)",="",="(0.076)",="(0.092)"
="RA_lowCCEI",="0.355**",="0.352**",="",="0.280**",="0.243**"
="",="(0.036)",="(0.036)",="",="(0.061)",="(0.085)"
="endline",="",="-0.037**",="",="-0.039**",=""
="",="",="(0.013)",="",="(0.014)",=""
="0.endline#c.RA_highCCEI",="",="0.000",="",="0.000",=""
="",="",="(.)",="",="(.)",=""
="1.endline#c.RA_highCCEI",="",="0.084+",="",="0.091*",=""
="",="",="(0.043)",="",="(0.044)",=""
="RA_highMATH",="",="",="0.388**",="0.073+",="0.026"
="",="",="",="(0.059)",="(0.043)",="(0.047)"
="RA_lowMATH",="",="",="0.316**",="0.000",="0.000"
="",="",="",="(0.062)",="(.)",="(.)"
="RA_highHEIGHT",="",="",="-0.015",="-0.023",="-0.101"
="",="",="",="(0.046)",="(0.044)",="(0.062)"
="RA_highMALE",="",="",="0.035",="0.018",="0.070"
="",="",="",="(0.050)",="(0.050)",="(0.073)"
="RA_highFRIENDS",="",="",="0.069",="0.066",="0.046"
="",="",="",="(0.054)",="(0.054)",="(0.051)"
="RA_highPOP",="",="",="-0.023",="-0.027",="-0.029"
="",="",="",="(0.050)",="(0.051)",="(0.060)"
="RA_highAGREE",="",="",="-0.074",="-0.072",="-0.135+"
="",="",="",="(0.047)",="(0.048)",="(0.070)"
="RA_highCONS",="",="",="0.058",="0.059",="0.023"
="",="",="",="(0.041)",="(0.040)",="(0.064)"
="RA_highOPEN",="",="",="0.086",="0.087",="0.166*"
="",="",="",="(0.053)",="(0.053)",="(0.073)"
="RA_highOUT",="",="",="0.062",="0.055",="0.029"
="",="",="",="(0.047)",="(0.047)",="(0.064)"
="RA_highSTAB",="",="",="-0.070",="-0.074+",="-0.056"
="",="",="",="(0.043)",="(0.042)",="(0.051)"
="_cons",="0.026+",="0.049**",="0.025+",="0.053**",="0.102**"
="",="(0.014)",="(0.017)",="(0.013)",="(0.017)",="(0.022)"
="N",="1304",="1304",="1304",="1304",="1304"
="R-squared",="0.409",="0.412",="0.424",="0.431",="0.754"
="p-value",="0.016",="",="",="",="0.282"
="p_val0",="",="0.181",="",="0.401",=""
="p_val1",="",="0.002",="",="0.004",=""
="p_val_math",="",="",="0.097",="",=""
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
