	(1)	(2)	(3)	(4)	(5)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
					
11102.class	-0.016***	-0.014***	-0.015**	-0.020***	-0.019***
	(0.003)	(0.003)	(0.007)	(0.007)	(0.007)
11105.class	0.064***	0.069***	0.069***	0.067***	0.070***
	(0.002)	(0.004)	(0.007)	(0.007)	(0.008)
11106.class	0.062***	0.064***	0.097***	0.078***	0.081***
	(0.003)	(0.003)	(0.007)	(0.007)	(0.008)
11202.class	0.056***	0.059***	0.082***	0.067***	0.069***
	(0.004)	(0.004)	(0.009)	(0.010)	(0.010)
11203.class	0.061***	0.065***	0.092***	0.066***	0.070***
	(0.005)	(0.005)	(0.008)	(0.008)	(0.008)
11204.class	0.017***	0.019***	0.021**	0.020**	0.022**
	(0.002)	(0.003)	(0.010)	(0.009)	(0.010)
11206.class	0.029***	0.032***	0.067***	0.042***	0.045***
	(0.003)	(0.004)	(0.007)	(0.008)	(0.008)
12101.class	-0.043***	-0.041***	-0.032**	-0.035**	-0.033**
	(0.001)	(0.001)	(0.015)	(0.016)	(0.016)
12102.class	0.040***	0.043***	0.072***	0.048***	0.051***
	(0.004)	(0.004)	(0.016)	(0.017)	(0.017)
12104.class	0.012***	0.013**	-0.006	0.014	0.014
	(0.004)	(0.005)	(0.015)	(0.015)	(0.015)
12105.class	0.035***	0.037***	0.043***	0.045***	0.047***
	(0.002)	(0.003)	(0.016)	(0.016)	(0.016)
12201.class	0.062***	0.065***	0.095***	0.066***	0.070***
	(0.005)	(0.005)	(0.016)	(0.017)	(0.017)
12202.class	0.031***	0.034***	0.047***	0.035**	0.038**
	(0.002)	(0.003)	(0.016)	(0.017)	(0.017)
12203.class	0.031***	0.034***	0.070***	0.051***	0.054***
	(0.004)	(0.004)	(0.014)	(0.015)	(0.015)
12205.class	-0.024***	-0.022***	-0.003	-0.020	-0.017
	(0.002)	(0.004)	(0.016)	(0.018)	(0.018)
13101.class	0.020***	0.021***	0.054***	0.029**	0.030**
	(0.004)	(0.004)	(0.012)	(0.014)	(0.014)
13104.class	-0.013***	-0.012***	0.010	-0.003	-0.003
	(0.003)	(0.003)	(0.012)	(0.013)	(0.013)
13106.class	0.059***	0.063***	0.070***	0.070***	0.075***
	(0.004)	(0.005)	(0.014)	(0.015)	(0.015)
13110.class	0.010***	0.013***	0.015	0.017	0.021
	(0.002)	(0.003)	(0.015)	(0.015)	(0.015)
14101.class	0.052***	0.054***	0.080***	0.054***	0.055***
	(0.004)	(0.004)	(0.010)	(0.011)	(0.011)
14104.class	0.059***	0.059***	0.070***	0.067***	0.067***
	(0.002)	(0.002)	(0.007)	(0.007)	(0.007)
14107.class	0.039***	0.041***	-0.040	-0.112**	-0.102**
	(0.002)	(0.002)	(0.048)	(0.049)	(0.047)
14108.class	0.023***	0.028***	0.039***	0.022**	0.027***
	(0.004)	(0.005)	(0.009)	(0.009)	(0.010)
15102.class	-0.036***	-0.035***	-0.044***	-0.039***	-0.038***
	(0.001)	(0.002)	(0.013)	(0.013)	(0.013)
15103.class	0.022***	0.024***	0.041***	0.028**	0.030**
	(0.003)	(0.003)	(0.013)	(0.014)	(0.014)
15106.class	0.019***	0.023***	0.006	0.002	0.008
	(0.003)	(0.004)	(0.016)	(0.016)	(0.016)
15110.class	0.035***	0.037***	0.012	0.024	0.027*
	(0.004)	(0.004)	(0.016)	(0.016)	(0.016)
16102.class	0.037***	0.038***	0.060***	0.043***	0.044***
	(0.003)	(0.003)	(0.006)	(0.007)	(0.007)
16103.class	0.004	0.007**	0.023***	0.019**	0.021**
	(0.003)	(0.003)	(0.008)	(0.008)	(0.008)
16106.class	-0.007*	-0.005	-0.010	-0.007	-0.006
	(0.004)	(0.004)	(0.011)	(0.012)	(0.012)
