="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig"
="HighCCEI",="-0.447**",="-0.411**",="",="-0.405**",="-0.421**"
="",="(0.016)",="(0.024)",="",="(0.024)",="(0.022)"
="post",="",="0.036+",="",="0.034+",=""
="",="",="(0.018)",="",="(0.018)",=""
="HighCCEI_post",="",="-0.071+",="",="-0.067+",=""
="",="",="(0.037)",="",="(0.036)",=""
="mathscore_i",="",="",="-0.001",="-0.000",="-0.001"
="",="",="",="(0.001)",="(0.000)",="(0.001)"
="math_diff",="",="",="-0.021**",="-0.012*",="-0.001"
="",="",="",="(0.006)",="(0.005)",="(0.007)"
="height_i",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="height_diff",="",="",="-0.002",="-0.000",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="outgoing_i",="",="",="0.004",="0.002",="0.000"
="",="",="",="(0.005)",="(0.002)",="(.)"
="outgoing_diff",="",="",="-0.001",="-0.003",="0.000"
="",="",="",="(0.010)",="(0.007)",="(.)"
="opened_i",="",="",="0.001",="0.001",="0.000"
="",="",="",="(0.003)",="(0.001)",="(.)"
="opened_diff",="",="",="-0.024*",="-0.014+",="0.000"
="",="",="",="(0.010)",="(0.008)",="(.)"
="agreeable_i",="",="",="0.003",="0.002",="0.000"
="",="",="",="(0.004)",="(0.002)",="(.)"
="agreeable_diff",="",="",="0.007",="0.005",="0.000"
="",="",="",="(0.014)",="(0.011)",="(.)"
="conscientious_i",="",="",="0.002",="0.002",="0.000"
="",="",="",="(0.004)",="(0.002)",="(.)"
="conscientious_diff",="",="",="0.002",="0.003",="0.000"
="",="",="",="(0.011)",="(0.009)",="(.)"
="stable_i",="",="",="0.002",="0.002",="0.000"
="",="",="",="(0.003)",="(0.002)",="(.)"
="stable_diff",="",="",="-0.007",="-0.002",="0.000"
="",="",="",="(0.010)",="(0.009)",="(.)"
="1.malepair",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="2.malepair",="",="",="0.056**",="0.019",="0.000"
="",="",="",="(0.019)",="(0.017)",="(.)"
="3.malepair",="",="",="-0.056**",="-0.020",="0.000"
="",="",="",="(0.019)",="(0.017)",="(.)"
="4.malepair",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.001)",="(0.000)",="(.)"
="inclass_n_friends",="",="",="-0.000",="-0.000",="-0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="inclass_n_diff",="",="",="-0.002",="0.004",="-0.007"
="",="",="",="(0.004)",="(0.003)",="(0.004)"
="inclass_popularity",="",="",="-0.000",="0.000",="-0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="inclass_pop_diff",="",="",="0.000",="-0.002",="0.002"
="",="",="",="(0.003)",="(0.002)",="(0.005)"
="0.friendship",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="1.friendship",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.001)",="(0.000)",="(0.000)"
="2.friendship",="",="",="-0.001",="-0.001",="0.000"
="",="",="",="(0.001)",="(0.001)",="(0.000)"
="_cons",="0.723**",="0.706**",="0.465**",="0.675**",="0.713**"
="",="(0.008)",="(0.012)",="(0.060)",="(0.029)",="(0.011)"
="N",="2228",="2228",="2228",="2228",="2228"
="R-squared",="0.382",="0.384",="0.039",="0.396",="0.731"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
