="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)"
="",="Friend~=2",="Friend=2",="Male~=Male",="Male=Male",="Outgoing Low",="Outgoing High",="Agreeable Low",="Agreeable High",="Open Low",="Open High",="Valuefair Low",="Valuefair High",="Valuewarmglow Low",="Valuewarmglow High",="Valuetrust Low",="Valuetrust High",="Valuecowork Low",="Valuecowork High",="Pblkorean Low",="Pblkorean High",="Pbleng Low",="Pbleng High",="Pblmath Low",="Pblmath High",="Pblscience Low",="Pblscience High",="Pblsocialsci Low",="Pblsocialsci High",="Pblclasshorizontal Low",="Pblclasshorizontal High",="Pblclasshorizontalq1 Low",="Pblclasshorizontalq1 High",="Pbleffectsharidea Low",="Pbleffectsharidea High",="Pbleffecthelpstudy Low",="Pbleffecthelpstudy High",="Pbleffecthelpnonstudy Low",="Pbleffecthelpnonstudy High",="Pbleffectoldfriend Low",="Pbleffectoldfriend High",="Pbleffectnewfriend Low",="Pbleffectnewfriend High",="Pbleffectinclass Low",="Pbleffectinclass High",="Pbleffectoutclass Low",="Pbleffectoutclass High",="Pbleffectfriend Low",="Pbleffectfriend High",="Pbleffectconfidence Low",="Pbleffectconfidence High",="Pbleffectschool Low",="Pbleffectschool High",="Teacherprepare Low",="Teacherprepare High",="Teacherinduce Low",="Teacherinduce High",="Brothers Low",="Brothers High",="Sisters Low",="Sisters High"
="HighCCEI",="-0.439**",="-0.475**",="-0.423**",="-0.449**",="-0.438**",="-0.461**",="-0.445**",="-0.430**",="-0.437**",="-0.471**",="-0.441**",="-0.450**",="-0.436**",="-0.470**",="-0.434**",="-0.585**",="-0.440**",="-0.565**",="-0.461**",="-0.430**",="-0.464**",="-0.415**",="-0.462**",="-0.418**",="-0.423**",="-0.463**",="-0.455**",="-0.431**",="-0.468**",="-0.403**",="-0.463**",="-0.381**",="-0.433**",="-0.529**",="-0.441**",="-0.471**",="-0.441**",="-0.479**",="-0.435**",="-0.482**",="-0.435**",="-0.516**",="-0.448**",="-0.439**",="-0.443**",="-0.453**",="-0.435**",="-0.483**",="-0.443**",="-0.447**",="-0.440**",="-0.468**",="-0.443**",="-0.443**",="-0.438**",="-0.485**",="-0.449**",="-0.428**",="-0.452**",="-0.417**"
="",="(0.018)",="(0.033)",="(0.036)",="(0.016)",="(0.016)",="(0.032)",="(0.016)",="(0.048)",="(0.019)",="(0.032)",="(0.019)",="(0.028)",="(0.017)",="(0.029)",="(0.015)",="(0.053)",="(0.015)",="(0.099)",="(0.024)",="(0.019)",="(0.021)",="(0.025)",="(0.020)",="(0.026)",="(0.021)",="(0.025)",="(0.023)",="(0.025)",="(0.020)",="(0.027)",="(0.018)",="(0.034)",="(0.017)",="(0.040)",="(0.017)",="(0.056)",="(0.016)",="(0.060)",="(0.018)",="(0.032)",="(0.018)",="(0.045)",="(0.028)",="(0.018)",="(0.016)",="(0.060)",="(0.018)",="(0.035)",="(0.018)",="(0.048)",="(0.018)",="(0.046)",="(0.017)",="(0.036)",="(0.017)",="(0.039)",="(0.018)",="(0.038)",="(0.019)",="(0.032)"
="_cons",="0.719**",="0.738**",="0.711**",="0.725**",="0.719**",="0.731**",="0.722**",="0.715**",="0.718**",="0.736**",="0.721**",="0.725**",="0.718**",="0.735**",="0.717**",="0.793**",="0.720**",="0.783**",="0.730**",="0.715**",="0.732**",="0.707**",="0.731**",="0.709**",="0.711**",="0.732**",="0.727**",="0.716**",="0.734**",="0.701**",="0.732**",="0.690**",="0.717**",="0.764**",="0.721**",="0.736**",="0.720**",="0.739**",="0.718**",="0.741**",="0.717**",="0.758**",="0.724**",="0.720**",="0.721**",="0.726**",="0.717**",="0.741**",="0.721**",="0.724**",="0.720**",="0.734**",="0.722**",="0.722**",="0.719**",="0.742**",="0.725**",="0.714**",="0.726**",="0.709**"
="",="(0.009)",="(0.016)",="(0.018)",="(0.008)",="(0.008)",="(0.016)",="(0.008)",="(0.024)",="(0.010)",="(0.016)",="(0.009)",="(0.014)",="(0.008)",="(0.014)",="(0.008)",="(0.027)",="(0.008)",="(0.050)",="(0.012)",="(0.010)",="(0.011)",="(0.013)",="(0.010)",="(0.013)",="(0.010)",="(0.013)",="(0.012)",="(0.012)",="(0.010)",="(0.013)",="(0.009)",="(0.017)",="(0.008)",="(0.020)",="(0.008)",="(0.028)",="(0.008)",="(0.030)",="(0.009)",="(0.016)",="(0.009)",="(0.023)",="(0.014)",="(0.009)",="(0.008)",="(0.030)",="(0.009)",="(0.017)",="(0.009)",="(0.024)",="(0.009)",="(0.023)",="(0.008)",="(0.018)",="(0.008)",="(0.019)",="(0.009)",="(0.019)",="(0.010)",="(0.016)"
="N",="2100",="306",="526",="1880",="1822",="584",="2170",="236",="1940",="466",="1758",="648",="1908",="498",="2254",="152",="2332",="74",="1028",="1378",="1402",="1004",="1398",="1008",="1180",="1226",="1242",="1164",="1498",="908",="1828",="578",="2146",="260",="2236",="170",="2230",="176",="1988",="418",="2154",="252",="1092",="1314",="2224",="182",="1970",="436",="2098",="308",="2124",="282",="1920",="486",="2142",="264",="1758",="648",="1824",="582"
="R-squared",="0.369",="0.438",="0.339",="0.389",="0.367",="0.412",="0.379",="0.370",="0.367",="0.422",="0.375",="0.386",="0.363",="0.440",="0.363",="0.631",="0.373",="0.546",="0.417",="0.350",="0.424",="0.320",="0.424",="0.321",="0.356",="0.398",="0.403",="0.352",="0.424",="0.308",="0.410",="0.284",="0.360",="0.542",="0.373",="0.438",="0.374",="0.423",="0.363",="0.455",="0.366",="0.483",="0.379",="0.377",="0.377",="0.386",="0.363",="0.447",="0.376",="0.390",="0.375",="0.397",="0.380",="0.369",="0.372",="0.425",="0.379",="0.373",="0.393",="0.331"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
