="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="new5_q3_i",="new5_q3_i",="new5_q3_i",="new5_q3_i",="new5_q3_i"
="HighCCEI",="-0.010",="-0.010",="",="-0.006",="-0.015"
="",="(0.009)",="(0.012)",="",="(0.011)",="(0.010)"
="post",="",="0.001",="",="0.000",=""
="",="",="(0.006)",="",="(0.005)",=""
="HighCCEI_post",="",="-0.002",="",="-0.000",=""
="",="",="(0.012)",="",="(0.011)",=""
="mathscore_i",="",="",="0.000",="0.000",="0.001"
="",="",="",="(0.000)",="(0.000)",="(0.001)"
="math_diff",="",="",="-0.003+",="-0.003",="0.001"
="",="",="",="(0.002)",="(0.002)",="(0.003)"
="height_i",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="height_diff",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="outgoing_i",="",="",="-0.001",="-0.001",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="outgoing_diff",="",="",="-0.006*",="-0.006*",="0.000"
="",="",="",="(0.003)",="(0.003)",="(.)"
="opened_i",="",="",="-0.001",="-0.001",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="opened_diff",="",="",="-0.008*",="-0.007*",="0.000"
="",="",="",="(0.004)",="(0.004)",="(.)"
="agreeable_i",="",="",="-0.001",="-0.001",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="agreeable_diff",="",="",="0.007+",="0.007+",="0.000"
="",="",="",="(0.004)",="(0.004)",="(.)"
="conscientious_i",="",="",="-0.001",="-0.001",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="conscientious_diff",="",="",="0.004",="0.004",="0.000"
="",="",="",="(0.003)",="(0.003)",="(.)"
="stable_i",="",="",="-0.001",="-0.001",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="stable_diff",="",="",="0.007*",="0.007*",="0.000"
="",="",="",="(0.003)",="(0.003)",="(.)"
="1.malepair",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="2.malepair",="",="",="0.020*",="0.019*",="0.000"
="",="",="",="(0.009)",="(0.009)",="(.)"
="3.malepair",="",="",="-0.020*",="-0.019*",="0.000"
="",="",="",="(0.009)",="(0.009)",="(.)"
="4.malepair",="",="",="0.000",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="inclass_n_friends",="",="",="0.000",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="inclass_n_diff",="",="",="0.001",="0.001",="-0.003"
="",="",="",="(0.001)",="(0.001)",="(0.002)"
="inclass_popularity",="",="",="0.000",="0.000",="-0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="inclass_pop_diff",="",="",="-0.004**",="-0.004**",="0.000"
="",="",="",="(0.001)",="(0.001)",="(0.002)"
="0.friendship",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="1.friendship",="",="",="0.000",="0.000",="-0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="2.friendship",="",="",="0.000",="0.000",="-0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="_cons",="0.505**",="0.505**",="0.514**",="0.517**",="0.506**"
="",="(0.005)",="(0.006)",="(0.009)",="(0.010)",="(0.005)"
="N",="2380",="2380",="2380",="2380",="2212"
="R-squared",="0.005",="0.005",="0.074",="0.074",="0.679"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
