="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="ccei_g",="ccei_g",="ccei_g",="ccei_g",="ccei_g"
="ccei_max",="0.362**",="0.350**",="",="0.323**",="0.242*"
="",="(0.081)",="(0.096)",="",="(0.092)",="(0.106)"
="ccei_dist",="-0.234**",="-0.271**",="",="-0.263**",="-0.162**"
="",="(0.045)",="(0.057)",="",="(0.056)",="(0.044)"
="endline",="",="0.028",="",="-0.011",=""
="",="",="(0.181)",="",="(0.183)",=""
="end_max",="",="-0.027",="",="0.012",=""
="",="",="(0.183)",="",="(0.184)",=""
="end_dist",="",="0.078",="",="0.075",=""
="",="",="(0.072)",="",="(0.073)",=""
="mathscore_max",="",="",="0.010*",="0.005",="0.007"
="",="",="",="(0.004)",="(0.004)",="(0.006)"
="mathscore_dist",="",="",="-0.003",="-0.001",="0.002"
="",="",="",="(0.003)",="(0.003)",="(0.005)"
="1.malepair",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="2.malepair",="",="",="-0.008",="-0.007",="0.000"
="",="",="",="(0.021)",="(0.020)",="(.)"
="3.malepair",="",="",="-0.010",="-0.010",="0.000"
="",="",="",="(0.020)",="(0.019)",="(.)"
="4.malepair",="",="",="0.022",="0.020",="0.000"
="",="",="",="(0.016)",="(0.018)",="(.)"
="inclass_n_friends_max",="",="",="0.005*",="0.005*",="0.007+"
="",="",="",="(0.002)",="(0.002)",="(0.004)"
="inclass_n_friends_dist",="",="",="-0.007*",="-0.006*",="-0.005"
="",="",="",="(0.003)",="(0.003)",="(0.004)"
="inclass_popularity_max",="",="",="0.003",="0.003",="0.003"
="",="",="",="(0.003)",="(0.003)",="(0.004)"
="inclass_popularity_dist",="",="",="-0.002",="-0.003",="-0.002"
="",="",="",="(0.003)",="(0.003)",="(0.004)"
="0.friendship",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="1.friendship",="",="",="0.011",="0.008",="-0.008"
="",="",="",="(0.013)",="(0.012)",="(0.015)"
="2.friendship",="",="",="-0.029+",="-0.026",="-0.032"
="",="",="",="(0.016)",="(0.016)",="(0.025)"
="N",="1304",="1304",="1304",="1304",="1304"
="R-squared",="0.166",="0.169",="0.124",="0.195",="0.639"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
